r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Be-F,g(r)_unweighted_Be-F,g(r)_weighted_Be-Be,g(r)_unweighted_Be-Be,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Be-Li,g(r)_unweighted_Be-Li,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
8.157216511719719,0.057024993693687374,1.0264498864863727,0.16628873766666663,0.997732426,0.0540757153640413,0.9733628765527433,0.4929039832620861,0.9858079665241724,0.05754656360642457,1.0358381449156422,0.16340354655270642,0.9804212793162388,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.167116046321322,0.05701445595356415,1.0262602071641547,0.16628873766666663,0.997732426,0.054078121096429156,0.9734061797357247,0.4923484687392877,0.9846969374785756,0.057489051139806464,1.0348029205165163,0.16350610144526775,0.9810366086716068,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.177015580922923,0.05700391821344094,1.0260705278419369,0.16628873766666663,0.997732426,0.054080526828817005,0.973449482918706,0.4917929542164895,0.9835859084329791,0.05743153867318838,1.0337676961173907,0.1636086563378291,0.9816519380269748,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.186915115524524,0.056993380473317715,1.0258808485197188,0.16628873766666663,0.997732426,0.05408293256120486,0.9734927861016874,0.4912374396936912,0.9824748793873825,0.05737402620657029,1.032732471718265,0.16371597495201176,0.9822958497120707,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.196814650126127,0.056982842733194504,1.025691169197501,0.16628873766666663,0.997732426,0.05408533829359271,0.9735360892846687,0.4906819251708929,0.9813638503417859,0.05731651373995218,1.0316972473191393,0.16388499317683222,0.9833099590609935,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.206714184727728,0.05697230499307128,1.025501489875283,0.16628873766666663,0.997732426,0.05408774402598056,0.97357939246765,0.4901264106480946,0.9802528212961893,0.057259001273334095,1.0306620229200136,0.16405401140165263,0.984324068409916,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.21661371932933,0.05696176725294807,1.0253118105530652,0.16628873766666663,0.997732426,0.054090149758368414,0.9736226956506314,0.4895708961252963,0.9791417922505927,0.057201488806716,1.029626798520888,0.16422302962647306,0.9853381777588386,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.22651325393093,0.05695122951282486,1.0251221312308474,0.16628873766666663,0.997732426,0.05409255549075626,0.9736659988336127,0.4891377079452862,0.9782754158905725,0.057137636468041035,1.0284774564247385,0.16439204785129347,0.986352287107761,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.236412788532533,0.05694069177270163,1.0249324519086294,0.16628873766666663,0.997732426,0.05409496122314412,0.9737093020165941,0.48884221468437156,0.9776844293687432,0.057073415353460326,1.0273214763622858,0.16456106607611393,0.9873663964566838,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.246312323134134,0.05693015403257842,1.0247427725864116,0.16628873766666663,0.997732426,0.054097366955531974,0.9737526051995754,0.4885467214234569,0.9770934428469139,0.05700919423887964,1.0261654962998334,0.16473008430093436,0.9883805058056063,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
8.256211857735735,0.05691961629245521,1.0245530932641937,0.16628873766666663,0.997732426,0.05409977268791983,0.9737959083825568,0.4882512281625423,0.9765024563250847,0.05694497312429894,1.025009516237381,0.16489910252575476,0.9893946151545289,1.2910053711325278e-09,3.3709919100015213e-11,1.95931,0
