r (A),g(r)_weighted_K-Na,g(r)_unweighted_K-Na,g(r)_weighted_Na-Zn,g(r)_unweighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Zn-Cl,g(r)_unweighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
1.2749611858258258,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.2948824543543545,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.3148037228828828,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.3347249914114114,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.35464625993994,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.3745675284684684,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.394488796996997,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.4144100655255256,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.434331334054054,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.4542526025825826,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.4741738711111112,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.4940951396396396,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.5140164081681682,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0,0.0,1.0,1.0,1.0,2.70063,0
1.5339376766966968,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0004965289409642852,0.003688178,1.0,1.0,1.0,2.70063,0
1.5538589452252252,3.66909805225782e-05,0.001691994,1.9701826299861708e-05,0.00092263,0.0,0.0,-0.00024147443888983361,-0.003155199,-0.0020886053922000024,-0.015277142,0.0004965289409642852,0.003688178,1.0,1.0,1.0,2.70063,0
