r (A),g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
4.832810793582582,0.043655467209443626,0.9167648113983161,0.23822534421501312,1.250683057128819,0.7256855741662271,0.9524623160931732,0.009776669845957382,4.22417,0
4.840772590606607,0.04258035259379993,0.8941874044697985,0.23761906923294004,1.2475001134729353,0.7258383845673522,0.9526628797446498,0.009776669845957382,4.22417,0
4.84873438763063,0.041505847558190596,0.8716227987220025,0.23701279425086705,1.244317169817052,0.7259911949684772,0.9528634433961264,0.009776669845957382,4.22417,0
4.856696184654655,0.04043134252258114,0.8490581929742039,0.23640651926879402,1.2411342261611686,0.7261440053696023,0.9530640070476031,0.009776669845957382,4.22417,0
4.864657981678678,0.03959282989713941,0.8314494278399276,0.23580024428672097,1.2379512825052852,0.7262968157707274,0.9532645706990797,0.009776669845957382,4.22417,0
4.872619778702703,0.0387744642428973,0.8142637491008433,0.23519396930464795,1.2347683388494017,0.7264496261718524,0.9534651343505564,0.009776669845957382,4.22417,0
4.880581575726726,0.03795609858865528,0.7970780703617608,0.23458769432257495,1.2315853951935185,0.7267479483659234,0.9538566822302745,0.009776669845957382,4.22417,0
4.888543372750751,0.037151461100512546,0.7801806831107635,0.23393972936351107,1.2281835791584332,0.7270628707741841,0.9542700178911167,0.009776669845957382,4.22417,0
4.896505169774775,0.03661721908399125,0.7689616007638164,0.23324418691264368,1.2245319812913793,0.7273777931824448,0.9546833535519588,0.009776669845957382,4.22417,0
4.904466966798799,0.03608297706747002,0.7577425184168705,0.23254864446177634,1.2208803834243258,0.7276927155907054,0.9550966892128008,0.009776669845957382,4.22417,0
4.912428763822823,0.035548735050948736,0.7465234360699234,0.23185310201090892,1.2172287855572719,0.728007637998966,0.9555100248736429,0.009776669845957382,4.22417,0
4.920390560846847,0.035014493034427496,0.7353043537229775,0.23115755956004158,1.2135771876902184,0.7283225604072266,0.955923360534485,0.009776669845957382,4.22417,0
4.928352357870871,0.03448025101790621,0.7240852713760304,0.23046201710917416,1.2099255898231644,0.7286374828154872,0.956336696195327,0.009776669845957382,4.22417,0
4.936314154894895,0.03402317641389239,0.7144867046917402,0.22976647465830682,1.206273991956111,0.7288951632598607,0.9566749017785672,0.009776669845957382,4.22417,0
4.944275951918919,0.033625932104823876,0.7061445742013014,0.22907093220743943,1.202622394089057,0.7290957091203644,0.9569381182204783,0.009776669845957382,4.22417,0
4.9522377489429426,0.03322868779575541,0.6978024437108636,0.2283753897565721,1.1989707962220035,0.729296254980868,0.9572013346623893,0.009776669845957382,4.22417,0
4.960199545966967,0.032831443486686894,0.6894603132204248,0.22767984730570467,1.1953191983549496,0.7294968008413718,0.9574645511043005,0.009776669845957382,4.22417,0
4.9681613429909905,0.032434199177618424,0.6811181827299869,0.22691121615826101,1.1912838848308704,0.7296973467018755,0.9577277675462116,0.009776669845957382,4.22417,0
4.976123140015015,0.03203695486854991,0.6727760522395482,0.22604085823046224,1.1867145057099269,0.7298978925623791,0.9579909839881227,0.009776669845957382,4.22417,0
4.9840849370390385,0.03166909233622991,0.6650509390608281,0.2251705003026636,1.182145126588984,0.7300984384228828,0.9582542004300337,0.009776669845957382,4.22417,0
4.992046734063063,0.03140547046757925,0.6595148798191642,0.2243001423748648,1.1775757474680404,0.7303825888803319,0.9586271479054357,0.009776669845957382,4.22417,0
5.0000085310870865,0.03114184859892861,0.6539788205775009,0.22342978444706618,1.1730063683470975,0.7311155850848554,0.9595892054238727,0.009776669845957382,4.22417,0
5.007970328111111,0.03087822673027795,0.648442761335837,0.22255942651926744,1.1684369892261541,0.7318485812893789,0.9605512629423099,0.009776669845957382,4.22417,0
5.0159321251351345,0.030614604861627315,0.6429067020941737,0.22168906859146875,1.163867610105211,0.7325815774939024,0.9615133204607469,0.009776669845957382,4.22417,0
5.023893922159159,0.030350982992976654,0.6373706428525098,0.22081871066367,1.1592982309842677,0.7333145736984259,0.962475377979184,0.009776669845957382,4.22417,0
5.031855719183183,0.030087361124325994,0.6318345836108459,0.21994835273587124,1.154728851863324,0.7340475699029494,0.9634374354976212,0.009776669845957382,4.22417,0
5.039817516207207,0.029859253899403693,0.6270443318874775,0.21907799480807258,1.1501594727423812,0.7347805661074729,0.9643994930160582,0.009776669845957382,4.22417,0
5.047779313231231,0.02970973701281253,0.6239044772690632,0.21816507156255543,1.145366625703416,0.7361135007126209,0.966148969685315,0.009776669845957382,4.22417,0
5.055741110255255,0.02956022012622138,0.620764622650649,0.21717940980874015,1.140191901495886,0.7376621568192575,0.9681815808252755,0.009776669845957382,4.22417,0
5.063702907279279,0.02941070323963022,0.6176247680322347,0.21619374805492475,1.135017177288355,0.7392108129258941,0.9702141919652361,0.009776669845957382,4.22417,0
5.071664704303303,0.029261186353039075,0.6144849134138206,0.2152080863011095,1.1298424530808249,0.7407594690325306,0.9722468031051965,0.009776669845957382,4.22417,0
5.079626501327327,0.029111669466447908,0.6113450587954061,0.21422242454729412,1.1246677288732942,0.7423081251391673,0.9742794142451572,0.009776669845957382,4.22417,0
5.087588298351351,0.028962152579856765,0.6082052041769921,0.21323676279347886,1.119493004665764,0.7438567812458038,0.9763120253851175,0.009776669845957382,4.22417,0
5.095550095375375,0.028868871540726614,0.6062463023552589,0.21225110103966346,1.1143182804582332,0.7454054373524405,0.9783446365250782,0.009776669845957382,4.22417,0
5.103511892399399,0.02885903490844156,0.6060397330772728,0.21126543928584818,1.109143556250703,0.7461282597414393,0.9792933409106391,0.009776669845957382,4.22417,0
5.111473689423423,0.028849198276156507,0.6058331637992866,0.21027977753203278,1.1039688320431722,0.7466106992474788,0.9799265427623159,0.009776669845957382,4.22417,0
5.119435486447447,0.028839361643871447,0.6056265945213004,0.20929411577821752,1.098794107835642,0.7470931387535182,0.9805597446139928,0.009776669845957382,4.22417,0
5.127397283471471,0.028829525011586393,0.6054200252433143,0.20834500322543253,1.093811266933521,0.7475755782595577,0.9811929464656695,0.009776669845957382,4.22417,0
