r (A),g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
1.4760096237297295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.4856567454534533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.495303867177177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.5049509889009007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.5145981106246245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.5242452323483482,0.0,0.0,0.0,0.0,0.001651078291047732,0.005778774018667061,1.0,4.67943,4.76796
1.533892354072072,0.0,0.0,0.0,0.0,0.0018659737742029944,0.006530908209710479,1.0,4.67943,4.76796
1.5435394757957956,0.0,0.0,0.0,0.0,0.0020808692573582566,0.007283042400753897,1.0,4.67943,4.76796
1.5531865975195194,0.0,0.0,0.0,0.0,0.0022957647405135186,0.008035176591797314,1.0,4.67943,4.76796
1.562833719243243,0.0,0.0,0.0,0.0,0.002510660223668781,0.008787310782840733,1.0,4.67943,4.76796
1.5724808409669668,0.0,0.0,0.0,0.0,0.0027255557068240435,0.009539444973884151,1.0,4.67943,4.76796
1.5821279626906906,0.0,0.0,0.0,0.0,0.002940451189979306,0.010291579164927568,1.0,4.67943,4.76796
1.5917750844144143,0.0,0.0,0.0,0.0,0.003155346673134568,0.011043713355970985,1.0,4.67943,4.76796
1.601422206138138,0.0,0.0,0.0,0.0,0.0033702421562898303,0.011795847547014404,1.0,4.67943,4.76796
1.6110693278618617,0.0,0.0,0.0,0.0,0.0035851376394450923,0.012547981738057821,1.0,4.67943,4.76796
1.6207164495855855,0.0,0.0,0.0,0.0,0.0038000331226003548,0.01330011592910124,1.0,4.67943,4.76796
1.6303635713093092,0.0,0.0,0.0,0.0,0.004014928605755617,0.014052250120144657,1.0,4.67943,4.76796
1.640010693033033,0.0,0.0,0.0,0.0,0.00422982408891088,0.014804384311188076,1.0,4.67943,4.76796
1.6496578147567567,0.0,0.0,0.0,0.0,0.004444719572066142,0.015556518502231493,1.0,4.67943,4.76796
1.6593049364804804,0.0,0.0,0.0,0.0,0.004659615055221404,0.01630865269327491,1.0,4.67943,4.76796
1.6689520582042041,0.0,0.0,0.0,0.0,0.004874510538376666,0.01706078688431833,1.0,4.67943,4.76796
1.6785991799279278,0.0,0.0,0.0,0.0,0.0050894060215319285,0.017812921075361747,1.0,4.67943,4.76796
1.6882463016516516,0.0,0.0,0.0,0.0,0.005304301504687191,0.018565055266405166,1.0,4.67943,4.76796
1.6978934233753753,0.0,0.0,0.0,0.0,0.0055191969878424525,0.01931718945744858,1.0,4.67943,4.76796
1.707540545099099,0.0,0.0,0.0,0.0,0.005734092470997715,0.020069323648492,1.0,4.67943,4.76796
1.7171876668228228,0.0,0.0,0.0,0.0,0.0059489879541529764,0.020821457839535415,1.0,4.67943,4.76796
1.7268347885465465,0.0,0.0,0.0,0.0,0.006163883437308239,0.021573592030578834,1.0,4.67943,4.76796
1.7364819102702702,0.0,0.0,0.0,0.0,0.006378778920463501,0.022325726221622252,1.0,4.67943,4.76796
1.746129031993994,0.0,0.0,0.0,0.0,0.006593674403618764,0.02307786041266567,1.0,4.67943,4.76796
1.7557761537177177,0.0,0.0,0.0,0.0,0.006808569886774025,0.023829994603709086,1.0,4.67943,4.76796
1.7654232754414414,0.0,0.0,0.0,0.0,0.007023465369929288,0.024582128794752505,1.0,4.67943,4.76796
1.7750703971651651,0.0,0.0,0.0,0.0,0.007238360853084551,0.025334262985795924,1.0,4.67943,4.76796
1.7847175188888889,0.0,0.0,0.0,0.0,0.007453256336239813,0.026086397176839343,1.0,4.67943,4.76796
1.7943646406126126,0.0,0.0,0.0,0.0,0.007668151819395075,0.026838531367882758,1.0,4.67943,4.76796
1.8040117623363363,0.0,0.0,0.0,0.0,0.007883047302550338,0.027590665558926177,1.0,4.67943,4.76796
1.81365888406006,0.0,0.0,0.0,0.0,0.0080979427857056,0.028342799749969595,1.0,4.67943,4.76796
1.8233060057837838,0.0,0.0,0.0,0.0,0.008312838268860862,0.029094933941013014,1.0,4.67943,4.76796
1.8329531275075075,0.0,0.0,0.0,0.0,0.008527733752016124,0.02984706813205643,1.0,4.67943,4.76796
1.8426002492312312,0.0,0.0,0.0,0.0,0.008742629235171386,0.030599202323099848,1.0,4.67943,4.76796
1.852247370954955,0.0,0.0,0.0,0.0,0.008957524718326648,0.03135133651414326,1.0,4.67943,4.76796
1.8618944926786785,0.0,0.0,0.0,0.0,0.009172420201481906,0.03210347070518667,1.0,4.67943,4.76796
1.8715416144024022,0.0,0.0,0.0,0.0,0.04168000602378429,0.145880021083245,1.0,4.67943,4.76796
1.881188736126126,0.0,0.0,0.0,0.0,0.07567416650709465,0.26485958277483124,1.0,4.67943,4.76796
1.8908358578498496,0.0,0.0,0.0,0.0,0.10993573043456344,0.384775056520972,1.0,4.67943,4.76796
1.9004829795735734,0.0,0.0,0.0,0.0,0.14561856914321183,0.5096649920012414,1.0,4.67943,4.76796
1.910130101297297,0.0,0.0,0.0,0.0,0.18130140785186025,0.6345549274815108,1.0,4.67943,4.76796
1.9197772230210208,0.0,0.0,0.0,0.0,0.2169842465605087,0.7594448629617803,1.0,4.67943,4.76796
1.9294243447447446,0.0,0.0,0.0,0.0,0.25221378698635977,0.882748254452259,1.0,4.67943,4.76796
1.9390714664684683,0.0,0.0,0.0,0.0,0.28742301955401817,1.0059805684390635,1.0,4.67943,4.76796
1.948718588192192,0.0,0.0,0.0,0.0,0.3226322521216766,1.129212882425868,1.0,4.67943,4.76796
1.9583657099159157,0.0,0.0,0.0,0.0,0.3578414846893351,1.2524451964126726,1.0,4.67943,4.76796
1.9680128316396395,0.0,0.0,0.0,0.0,0.39796584716422506,1.3928804650747875,1.0,4.67943,4.76796
1.9776599533633632,0.0,0.0,0.0,0.0,0.43825979794404896,1.533909292804171,1.0,4.67943,4.76796
1.987307075087087,0.0,0.0,0.0,0.0,0.4785537487238729,1.674938120533555,1.0,4.67943,4.76796
1.9969541968108107,0.0,0.0,0.0,0.0,0.5188476995036969,1.8159669482629388,1.0,4.67943,4.76796
2.0066013185345346,0.0,0.0,0.0,0.0,0.5469157433305574,1.9142051016569503,1.0,4.67943,4.76796
2.0162484402582583,0.0,0.0,0.0,0.0,0.571914385109834,2.0017003478844186,1.0,4.67943,4.76796
2.025895561981982,0.0,0.0,0.0,0.0,0.5969130268891107,2.0891955941118874,1.0,4.67943,4.76796
2.035542683705706,0.0,0.0,0.0,0.0,0.6219116686683875,2.176690840339356,1.0,4.67943,4.76796
2.0451898054294295,0.0,0.0,0.0,0.0,0.6469103104476642,2.2641860865668244,1.0,4.67943,4.76796
2.0548369271531532,0.0,0.0,0.0,0.0,0.671908952226941,2.351681332794293,1.0,4.67943,4.76796
2.0644840488768765,0.0,0.0,0.0,0.0,0.7000087929590744,2.45003077535676,1.0,4.67943,4.76796
2.0741311706006003,0.0,0.0,0.0,0.0,0.7282695986162607,2.548943595156912,1.0,4.67943,4.76796
2.083778292324324,0.0,0.0,0.0,0.0,0.7565304042734471,2.6478564149570643,1.0,4.67943,4.76796
2.0934254140480477,0.0,0.0,0.0,0.0,0.7847912099306332,2.746769234757216,1.0,4.67943,4.76796
2.1030725357717714,0.0,0.0,0.0,0.0,0.8130520155878197,2.8456820545573684,1.0,4.67943,4.76796
2.112719657495495,0.0,0.0,0.0,0.0,0.8413128212450058,2.94459487435752,1.0,4.67943,4.76796
2.122366779219219,0.0,0.0,0.0,0.0,0.8616150400943756,3.0156526403303143,1.0,4.67943,4.76796
2.1320139009429426,0.0,0.0,0.0,0.0,0.8782699698908456,3.0739448946179593,1.0,4.67943,4.76796
2.1416610226666664,0.0,0.0,0.0,0.0,0.8949248996873156,3.1322371489056042,1.0,4.67943,4.76796
2.15130814439039,0.0,0.0,0.0,0.0,0.9115798294837856,3.190529403193249,1.0,4.67943,4.76796
2.160955266114114,0.0,0.0,0.0,0.0,0.9282347592802555,3.2488216574808937,1.0,4.67943,4.76796
2.1706023878378375,0.0,0.0,0.0,0.0,0.9448896890767254,3.3071139117685386,1.0,4.67943,4.76796
2.1802495095615613,0.0,0.0,0.0,0.0,0.9615446188731954,3.3654061660561836,1.0,4.67943,4.76796
2.189896631285285,0.0,0.0,0.0,0.0,0.9781995486696654,3.4236984203438285,1.0,4.67943,4.76796
2.1995437530090087,0.0,0.0,0.0,0.0,0.9948544784661354,3.4819906746314735,1.0,4.67943,4.76796
2.2091908747327325,0.0,0.0,0.0,0.0,1.0115094082626055,3.5402829289191184,1.0,4.67943,4.76796
2.218837996456456,0.0,0.0,0.0,0.0,1.0281643380590755,3.5985751832067634,1.0,4.67943,4.76796
2.22848511818018,0.0,0.0,0.0,0.0,1.0448192678555452,3.656867437494408,1.0,4.67943,4.76796
2.2381322399039036,0.0,0.0,0.0,0.0,1.0614741976520152,3.715159691782053,1.0,4.67943,4.76796
2.2477793616276274,0.0,0.0,0.0,0.0,1.0846439503359453,3.796253826175808,1.0,4.67943,4.76796
2.257426483351351,0.0,0.0,0.0,0.0,1.1102963145469262,3.886037100914241,1.0,4.67943,4.76796
2.267073605075075,0.0,0.0,0.0,0.0,1.1359486787579072,3.9758203756526744,1.0,4.67943,4.76796
2.2767207267987986,-0.003230677069710091,-0.022614739487970634,0.0,0.0,1.1549846997088853,4.042446448981098,1.0,4.67943,4.76796
2.2863678485225223,-0.0031481264844778114,-0.022036885391344678,0.0,0.0,1.16580181190823,4.080306341678805,1.0,4.67943,4.76796
2.296014970246246,-0.0030655758992455327,-0.021459031294718725,0.0,0.0,1.176618924107575,4.118166234376512,1.0,4.67943,4.76796
2.3056620919699697,-0.002983025314013253,-0.02088117719809277,-0.009573145038613133,-0.01675300381757298,1.18743603630692,4.156026127074219,1.0,4.67943,4.76796
2.3153092136936935,-0.002900474728780974,-0.020303323101466816,-0.009463165914034993,-0.016560540349561236,1.198253148506265,4.193886019771927,1.0,4.67943,4.76796
2.324956335417417,-0.0028179241435486945,-0.01972546900484086,-0.009353186789456854,-0.016368076881549492,1.2090702607056099,4.231745912469634,1.0,4.67943,4.76796
2.334603457141141,-0.0027353735583164154,-0.019147614908214906,-0.009243207664878714,-0.016175613413537748,1.2198873729049549,4.269605805167341,1.0,4.67943,4.76796
2.3442505788648647,-0.0026528229730841363,-0.01856976081158895,-0.009133228540300575,-0.015983149945526003,1.2307044851042999,4.307465697865049,1.0,4.67943,4.76796
2.3538977005885884,-0.0025702723878518567,-0.017991906714962994,-0.009023249415722434,-0.01579068647751426,1.2415215973036446,4.345325590562756,1.0,4.67943,4.76796
2.363544822312312,-0.0024877218026195776,-0.01741405261833704,-0.008913270291144295,-0.015598223009502515,1.2455228876550797,4.359330106792778,0.9818780114997195,4.67943,4.76796
2.373191944036036,-0.0024051712173872985,-0.016836198521711088,-0.008803291166566156,-0.01540575954149077,1.2377909564268812,4.332268347494083,0.9818780114997195,4.67943,4.76796
2.3828390657597596,-0.002322620632155019,-0.01625834442508513,-0.008693312041988015,-0.015213296073479026,1.230059025198683,4.305206588195389,0.9818780114997195,4.67943,4.76796
2.3924861874834833,-0.0022400700469227394,-0.015680490328459175,-0.008583332917409876,-0.015020832605467282,1.2223270939704842,4.278144828896695,0.9818780114997195,4.67943,4.76796
