r (A),g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
1.8327620195795795,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.8476625238038038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.862563028028028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.8774635322522524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.8923640364764764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.9072645407007007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.922165044924925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.937065549149149,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.9519660533733734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.9668665575975977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.981767061821822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.996667566046046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.0115680702702705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.0264685744944946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.0413690787187186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.056269582942943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.071170087167167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.0860705913913913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.100971095615616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.11587159983984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.130772104064064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.1456726082882884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.1605731125125125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.1754736167367366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.190374120960961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.205274625185185,0.010578249683847582,0.03173474905154275,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.2201751294094096,0.018818532476387415,0.05645559742916225,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.2350756336336337,0.027058815268927006,0.08117644580678102,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.2499761378578578,0.03529909806146659,0.10589729418439978,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.2648766420820823,0.043539380854006424,0.13061814256201928,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.2797771463063063,0.06094411346373897,0.18283234039121693,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.2946776505305304,0.08659597690316467,0.259787930709494,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.309578154754755,0.11476615907263606,0.3442984772179082,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.324478658978979,0.1532901371567807,0.45987041147034213,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.339379163203203,0.20110640184116127,0.6033192055234838,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.3542796674274276,0.25422298294337664,0.76266894883013,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.3691801716516516,0.3152854583620305,0.9458563750860914,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.384080675875876,0.3853785946813483,1.156135784044045,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.3989811801001,0.45929699477698566,1.377890984330957,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
2.4138816843243243,0.5372092869295195,1.6116278607885586,0.0019130732125364138,0.005739219637609242,0.0,0.0,1.0,4.63223,4.48028
2.4287821885485488,0.5920142371540917,1.7760427114622754,0.002134638103603111,0.006403914310809333,0.0,0.0,1.0,4.63223,4.48028
2.443682692772773,0.6976944655215036,2.093083396564511,0.0023562029946698013,0.007068608984009404,0.0,0.0,1.0,4.63223,4.48028
2.458583196996997,0.7717128194929948,2.3151384584789843,0.0025777678857364914,0.007733303657209475,0.0,0.0,1.0,4.63223,4.48028
2.4734837012212214,0.8526045410822679,2.557813623246804,0.0027993327768031885,0.008397998330409566,0.0,0.0,1.0,4.63223,4.48028
2.4883842054454455,0.9288797496473875,2.7866392489421625,0.003020897667869879,0.009062693003609637,0.0,0.0,1.0,4.63223,4.48028
2.5032847096696695,0.9898888171537437,2.969666451461231,0.003242462558936569,0.009727387676809708,0.0,0.0,1.0,4.63223,4.48028
2.518185213893894,1.0842076967759784,3.252623090327935,0.003464027450003266,0.0103920823500098,0.0,0.0,1.0,4.63223,4.48028
2.533085718118118,1.1324569736661851,3.3973709209985556,0.0036855923410699567,0.01105677702320987,0.0,0.0,1.0,4.63223,4.48028
2.547986222342342,1.2102518871395966,3.63075566141879,0.003907157232136646,0.01172147169640994,0.0,0.0,1.0,4.63223,4.48028
2.5628867265665667,1.273587808047317,3.8207634241419512,0.004128722123203343,0.01238616636961003,0.0,0.0,1.0,4.63223,4.48028
2.5777872307907908,1.304438248518552,3.913314745555656,0.004350287014270034,0.013050861042810103,0.0,0.0,1.0,4.63223,4.48028
2.5926877350150153,1.3418234957618227,4.025470487285468,0.005182579097736836,0.015547737293210507,0.0,0.0,1.0,4.63223,4.48028
2.6075882392392393,1.3665681450217817,4.0997044350653455,0.006540786802559683,0.01962236040767905,0.0,0.0,1.0,4.63223,4.48028
2.6224887434634634,1.3784597288753784,4.135379186626135,0.007898994507382531,0.023696983522147594,0.0,0.0,1.0,4.63223,4.48028
