r (A),g(r)_weighted_U-F,g(r)_unweighted_U-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
4.745467162648649,0.0424552956824485,1.3239458952064618,0.36094479700957355,0.804622443174892,0.23091889470988883,1.2015008886605185,0.15442461007764555,1.205236841743377,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.751136776940942,0.04255624549595987,1.3270939616389728,0.36087237711893183,0.804461003891585,0.23034671390765962,1.1985237579098427,0.15448690753045763,1.2057230543052098,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.7568063912332335,0.04265808400277076,1.3302697415010354,0.3607999572282901,0.8042995646082781,0.22977453310543047,1.1955466271591673,0.15456964713071938,1.206368811574446,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.762476005525526,0.04276162227706477,1.3334985277112086,0.3607275373376484,0.8041381253249712,0.22920235230320127,1.1925694964084914,0.1546523867309812,1.2070145688436824,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.768145619817818,0.04286516055135877,1.3367273139213813,0.36065511744700673,0.8039766860416643,0.22863017150097215,1.189592365657816,0.15473512633124298,1.2076603261129186,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.773815234110111,0.04296869882565278,1.3399561001315545,0.3609221959199303,0.8045720605565031,0.2280579906987429,1.1866152349071402,0.15481786593150476,1.208306083382155,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.779484848402403,0.04307223709994677,1.3431848863417273,0.3613567153352161,0.8055406964155898,0.2274858098965138,1.1836381041564648,0.15490060553176654,1.2089518406513913,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.785154462694695,0.04317577537424079,1.3464136725519007,0.3617912347505021,0.8065093322746767,0.22691362909428459,1.180660973405789,0.15498334513202833,1.2095975979206277,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.790824076986987,0.04327931364853478,1.3496424587620732,0.362225754165788,0.8074779681337635,0.22634144829205546,1.1776838426551135,0.15506608473229014,1.2102433551898641,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.79649369127928,0.0433828519228288,1.3528712449722466,0.362660273581074,0.8084466039928504,0.22576926748982623,1.1747067119044377,0.15512836916142714,1.210729466105897,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.802163305571572,0.043458177534024214,1.3552202342359656,0.3630947929963598,0.8094152398519371,0.2251970866875971,1.1717295811537622,0.15518008140069917,1.2111330643141642,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.8078329198638645,0.04353324277896209,1.3575611041159334,0.3635293124116458,0.810383875711024,0.22485708395133597,1.1699605029227322,0.15523179363997122,1.2115366625224315,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.813502534156156,0.04360830802389996,1.3599019739959008,0.36398680552695745,0.811403724816005,0.22463989249411384,1.1688304276675665,0.15528350587924325,1.2119402607306988,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.819172148448449,0.04368337326883783,1.3622428438758687,0.36449374482246144,0.8125337999351622,0.22442270103689171,1.1677003524124008,0.1553352181185153,1.2123438589389661,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.824841762740741,0.0437584385137757,1.364583713755836,0.3650006841179653,0.8136638750543191,0.22420550957966956,1.166570277157235,0.1553869303577873,1.2127474571472332,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.830511377033034,0.04383350375871358,1.366924583635804,0.36550762341346926,0.8147939501734763,0.22398831812244743,1.1654402019020693,0.15543864259705936,1.2131510553555005,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.8361809913253255,0.04390856900365144,1.3692654535157713,0.36601456270897315,0.8159240252926333,0.2237711266652253,1.1643101266469036,0.1554840089341178,1.2135051257382607,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.841850605617618,0.043975372124803416,1.3713486734442737,0.3665215020044771,0.8170541004117905,0.22355393520800318,1.1631800513917379,0.15551503627768104,1.2137472846632211,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.84752021990991,0.04403749509199667,1.3732859452519826,0.36702844129998097,0.8181841755309475,0.22330867308737598,1.1619039208427044,0.15554606362124426,1.2139894435881815,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.853189834202203,0.04409961805918993,1.3752232170596916,0.3675353805954849,0.8193142506501045,0.22299839962560394,1.1602895278736265,0.15557709096480749,1.2142316025131419,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.858859448494495,0.04416174102638317,1.3771604888674003,0.36800738612841677,0.8203664510094011,0.22268812616383193,1.1586751349045488,0.1556081183083707,1.2144737614381023,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.864529062786787,0.04422386399357644,1.3790977606751096,0.3684781154785999,0.8214158064869048,0.22237785270205987,1.1570607419354708,0.15563914565193393,1.2147159203630626,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.870198677079079,0.044285986960769685,1.3810350324828182,0.3689488448287829,0.8224651619644083,0.22206757924028786,1.155446348966393,0.15567017299549715,1.214958079288023,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.875868291371372,0.04434810992796294,1.3829723042905273,0.369419574178966,0.8235145174419121,0.22175730577851582,1.1538319559973151,0.15570120033906037,1.2152002382129834,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.881537905663664,0.04440135212634967,1.384632634029675,0.36989030352914903,0.8245638729194156,0.2214470323167438,1.1522175630282374,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.887207519955957,0.04443241360776559,1.3856012698655253,0.37036103287933214,0.8256132283969193,0.22113675885497175,1.1506031700591595,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.892877134248248,0.044463475089181505,1.3865699057013754,0.37083176222951514,0.8266625838744228,0.2205614539562587,1.1476097842302393,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.898546748540541,0.044494536570597425,1.3875385415372257,0.37139117452968284,0.8279096324409411,0.2199719343098562,1.14454243722979,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.904216362832833,0.044525598052013345,1.388507177373076,0.37200674372216125,0.8292818666210671,0.21938241466345385,1.1414750902293416,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.909885977125126,0.044556659533429264,1.3894758132089262,0.37262231291463976,0.8306541008011933,0.2187928950170514,1.1384077432288926,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.915555591417418,0.04458772101484518,1.3904444490447763,0.37323788210711817,0.8320263349813193,0.21820337537064904,1.135340396228444,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.92122520570971,0.0446187824962611,1.3914130848806265,0.3738534512995967,0.8333985691614455,0.21761385572424657,1.1322730492279949,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.926894820002002,0.044647427818851074,1.3923063740840165,0.3744690204920751,0.8347708033415715,0.21702433607784422,1.1292057022275463,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.932564434294295,0.04467590084384578,1.3931942902782133,0.3750845896845536,0.8361430375216977,0.21648109552255895,1.1263791513264099,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.938234048586587,0.04470437386884049,1.3940822064724099,0.3758224588956772,0.8377879043609392,0.21596914427534641,1.1237154027438199,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
