r (A),g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-K,g(r)_unweighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
3.346829041121121,0.01703862406398851,0.12305075077820685,0.03268415707190948,0.13219756475808,0.002552887390081121,0.046941475986619345,0.4573845782179229,1.0361057941137952,0.06225165474278006,0.6410802565992794,0.0004458837527668534,0.020874787661223387,1.0,0.0012888078547954908,4.00596,0
3.361638019179179,0.018528228967512113,0.1338084857369163,0.034547407332811066,0.13973385050300885,0.00265240114135126,0.04877129518809898,0.47388992903482124,1.0734950949990587,0.059736546650302355,0.6151791597053444,0.0004451877825484485,0.020842204660749417,1.0,0.0012888078547954908,4.00596,0
3.376446997237237,0.02001783387103571,0.14456622069562577,0.03641065759371264,0.14727013624793767,0.0027519148926214,0.050601114389578615,0.49045526131921835,1.1110202709202865,0.05722143855782466,0.5892780628114096,0.00044449181233004355,0.020809621660275446,1.0,0.0012888078547954908,4.00596,0
3.391255975295295,0.02150743877455931,0.1553239556543352,0.03827390785461423,0.1548064219928665,0.0028514286438915395,0.05243093359105826,0.5070205936036155,1.1485454468415144,0.05470633046534697,0.5633769659174748,0.00044379584211163853,0.02077703865980147,1.0,0.0012888078547954908,4.00596,0
3.406064953353353,0.02299704367808291,0.16608169061304467,0.04122901116219098,0.1667589242406894,0.0029509423951616792,0.05426075279253789,0.5235859258880126,1.1860706227627422,0.052191222372869266,0.5374758690235398,0.00045247771715656835,0.021183495044317793,1.0,0.0012888078547954908,4.00596,0
3.4208739314114114,0.024486648581606558,0.17683942557175447,0.046050326380255434,0.18625969121341268,0.003050456146431822,0.05609057199401758,0.5401512581724103,1.2235957986839714,0.049676114280391495,0.5115747721296042,0.000530445891621298,0.02483370449058009,1.0,0.0012888078547954908,4.00596,0
3.4356829094694694,0.02597625348513016,0.18759716053046394,0.05087164159831975,0.2057604581861354,0.0031499698977019612,0.05792039119549722,0.5555435325664866,1.2584636657782864,0.047734264771316454,0.49157720922627607,0.0006084140660860254,0.028483913936842277,1.0,0.0012888078547954908,4.00596,0
3.4504918875275274,0.02746585838865376,0.1983548954891734,0.055692956816384066,0.2252612251588581,0.003249483648972101,0.05975021039697685,0.5687014736008144,1.288270134106082,0.04604365754425226,0.47416699066400386,0.0006863822405507526,0.032134123383104465,1.0,0.0012888078547954908,4.00596,0
3.4653008655855855,0.028955463292177363,0.20911263044788286,0.06051427203444838,0.2447619921315808,0.00334899740024224,0.06158002959845649,0.5818594146351421,1.3180766024338777,0.04435305031718807,0.4567567721017317,0.00076435041501548,0.035784332829366654,1.0,0.0012888078547954908,4.00596,0
3.4801098436436435,0.030988385387762715,0.22379413226375341,0.06533558725251269,0.2642627591043035,0.0034831037930323967,0.06404592450681405,0.5950173556694699,1.3478830707616734,0.042662443090123875,0.4393465535394595,0.0008423185894802074,0.03943454227562884,1.0,0.0012888078547954908,4.00596,0
