r (A),g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
6.855107237684685,0.3278587393476198,0.9835762180428594,0.3204464063395547,0.961339219018664,0.3419140555024027,1.0257421665072082,0.07337674233589517,4.63732,0
6.863069034708708,0.32730329723870843,0.9819098917161254,0.3191613523391445,0.9574840570174336,0.3418429860811957,1.0255289582435871,0.07337674233589517,4.63732,0
6.871030831732733,0.32674785512979704,0.9802435653893912,0.3189265150682218,0.9567795452046655,0.34180167221669977,1.0254050166500994,0.07337674233589517,4.63732,0
6.878992628756756,0.3261924130208857,0.9785772390626571,0.31903074507535634,0.9570922352260691,0.341760358352204,1.025281075056612,0.07337674233589517,4.63732,0
6.886954425780781,0.3256369709119743,0.9769109127359229,0.3191349750824909,0.9574049252474728,0.34171904448770807,1.0251571334631242,0.07337674233589517,4.63732,0
6.894916222804804,0.32508152880306296,0.9752445864091889,0.31923920508962544,0.9577176152688763,0.34167773062321216,1.0250331918696365,0.07337674233589517,4.63732,0
6.902878019828829,0.3244569372540623,0.9733708117621871,0.31934343509676,0.95803030529028,0.34163641675871625,1.0249092502761488,0.07337674233589517,4.63732,0
6.910839816852852,0.32355731530065845,0.9706719459019754,0.3194476651038945,0.9583429953116835,0.34159510289422035,1.024785308682661,0.07337674233589517,4.63732,0
6.918801613876877,0.32265769334725447,0.9679730800417634,0.31955189511102905,0.9586556853330872,0.3413037587445509,1.0239112762336526,0.07337674233589517,4.63732,0
6.9267634109009,0.32175807139385054,0.9652742141815517,0.31965612511816355,0.9589683753544908,0.3409457051653291,1.0228371154959874,0.07337674233589517,4.63732,0
6.934725207924925,0.3208584494404465,0.9625753483213396,0.3197603551252981,0.9592810653758944,0.3405876515861073,1.021762954758322,0.07337674233589517,4.63732,0
6.942687004948949,0.3199588274870425,0.9598764824611277,0.31986458513243266,0.9595937553972981,0.3402295980068855,1.0206887940206566,0.07337674233589517,4.63732,0
