r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
1.2128198149391576,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2203063570066832,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2277928990742089,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2352794411417347,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2427659832092603,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.250252525276786,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2577390673443116,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2652256094118373,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.272712151479363,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2801986935468885,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.2876852356144144,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.29517177768194,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3026583197494657,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3101448618169913,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.317631403884517,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3251179459520426,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3326044880195682,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3400910300870938,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3475775721546195,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3550641142221453,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.362550656289671,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3700371983571966,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3775237404247223,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.385010282492248,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3924968245597735,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.3999833666272992,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.407469908694825,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4149564507623507,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4224429928298763,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.429929534897402,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4374160769649276,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4449026190324532,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4523891610999788,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4598757031675045,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4673622452350301,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.474848787302556,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4823353293700816,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4898218714376072,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.4973084135051329,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5047949555726585,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5122814976401842,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5197680397077098,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5272545817752357,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5347411238427613,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.542227665910287,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5497142079778126,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5572007500453382,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5646872921128638,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5721738341803895,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.579660376247915,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5871469183154407,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.5946334603829666,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.6021200024504922,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.6096065445180179,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
1.6170930865855435,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
