r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Mg-Cl,S_i_Na-Cl,S_i_Ca-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.3660044106753376,0.0011317336752465984,0.004592511396057166,0.00017672524012981753,0.0035927149806407885,0.0006116434481069537,0.005566472175469638,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3734738884442221,0.0011308495808415244,0.0045903288157331315,0.00017630432739793432,0.0035910675196521185,0.0006113666015215267,0.005562145984964023,1.0,1.0,1.0,2.5006263936342603,3.52027
0.38094336621310654,0.00112996548643645,0.004588146235409098,0.00017588341466605114,0.003589420058663449,0.0006110897549360997,0.0055578197944584065,1.0,1.0,1.0,2.5006263936342603,3.52027
0.388412843981991,0.001129081392031376,0.0045859636550850645,0.00017546250193416796,0.003587772597674779,0.0006108129083506726,0.005553493603952791,1.0,1.0,1.0,2.5006263936342603,3.52027
0.3958823217508754,0.001128197297626302,0.004583781074761031,0.00017504158920228477,0.003586125136686109,0.0006105360617652457,0.005549167413447176,1.0,1.0,1.0,2.5006263936342603,3.52027
0.40335179951975986,0.0011273132032212278,0.004581598494436997,0.0001746206764704016,0.003584477675697439,0.0006057193855537129,0.00554484122294156,1.0,1.0,1.0,2.5006263936342603,3.52027
0.4108212772886443,0.001126429108816154,0.004579415914112963,0.0001741997637385184,0.003582830214708769,0.0005988568028114331,0.005540515032435944,1.0,1.0,1.0,2.5006263936342603,3.52027
0.4182907550575287,0.00112554501441108,0.00456020694876337,0.00017377885100663523,0.003581182753720099,0.0005919942200691535,0.0055361888419303285,1.0,1.0,1.0,2.5006263936342603,3.52027
0.4257602328264132,0.0011246609200060058,0.00450611871193785,0.00017335793827475204,0.0035795352927314294,0.0005851316373268739,0.005531862651424713,1.0,1.0,1.0,2.5006263936342603,3.52027
0.43322971059529763,0.0011237768256009315,0.00445203047511233,0.00017293702554286886,0.0035778878317427594,0.0005782690545845942,0.005527536460919097,1.0,1.0,1.0,2.5006263936342603,3.52027
