r (A),g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,S_i_Mg-Cl,Average_SCL,lambda_BC
15.224981593113112,0.28219514137169105,0.9876829948009186,0.14358015806063465,1.0050611064244424,4.906470156877406e-09,4.42533,4.76796
15.24293558084084,0.2823101397979864,0.9880854892929524,0.14335950635054917,1.003516544453844,4.906470156877406e-09,4.42533,4.76796
15.260889568568567,0.28242513822428184,0.9884879837849863,0.14313195637929105,1.0019236946550372,4.906470156877406e-09,4.42533,4.76796
15.278843556296295,0.2825401366505772,0.98889047827702,0.14290440640803287,1.00033084485623,4.906470156877406e-09,4.42533,4.76796
15.296797544024022,0.28265513507687257,0.9892929727690539,0.14267685643677472,0.9987379950574229,4.906470156877406e-09,4.42533,4.76796
15.314751531751751,0.28277013350316793,0.9896954672610877,0.14244930646551654,0.9971451452586156,4.906470156877406e-09,4.42533,4.76796
15.332705519479479,0.28288513192946335,0.9900979617531216,0.1422217564942584,0.9955522954598085,4.906470156877406e-09,4.42533,4.76796
15.350659507207206,0.2830001303557587,0.9905004562451554,0.1419942065230002,0.9939594456610014,4.906470156877406e-09,4.42533,4.76796
15.368613494934934,0.28311512878205414,0.9909029507371893,0.14176665655174206,0.9923665958621943,4.906470156877406e-09,4.42533,4.76796
15.386567482662661,0.2833895673787001,0.9918634858254501,0.1415391065804839,0.9907737460633872,4.906470156877406e-09,4.42533,4.76796
15.404521470390389,0.2837556033541143,0.9931446117393999,0.14147844991576314,0.9903491494103419,4.906470156877406e-09,4.42533,4.76796
15.422475458118116,0.28412163932952855,0.9944257376533497,0.1414274692365415,0.9899922846557904,4.906470156877406e-09,4.42533,4.76796
15.440429445845846,0.28448767530494284,0.9957068635672998,0.14137648855731985,0.9896354199012388,4.906470156877406e-09,4.42533,4.76796
15.458383433573573,0.2848537112803571,0.9969879894812496,0.1413255078780982,0.9892785551466873,4.906470156877406e-09,4.42533,4.76796
15.4763374213013,0.28521974725577126,0.9982691153951994,0.14127452719887656,0.9889216903921357,4.906470156877406e-09,4.42533,4.76796
15.494291409029028,0.28558578323118555,0.9995502413091493,0.1412235465196549,0.9885648256375842,4.906470156877406e-09,4.42533,4.76796
15.512245396756756,0.2859518192065998,1.000831367223099,0.14117256584043328,0.9882079608830328,4.906470156877406e-09,4.42533,4.76796
15.530199384484483,0.286317855182014,1.0021124931370489,0.14112158516121162,0.9878510961284812,4.906470156877406e-09,4.42533,4.76796
15.54815337221221,0.28651917293152385,1.0028171052603334,0.14107060448198996,0.9874942313739297,4.906470156877406e-09,4.42533,4.76796
15.566107359939938,0.28660070158180684,1.0031024555363237,0.14111985796199125,0.9878390057339387,4.906470156877406e-09,4.42533,4.76796
15.584061347667667,0.2866822302320897,1.0033878058123138,0.1411781697295508,0.9882471881068554,4.906470156877406e-09,4.42533,4.76796
15.602015335395395,0.28676375888237265,1.003673156088304,0.14123648149711032,0.9886553704797721,4.906470156877406e-09,4.42533,4.76796
15.619969323123122,0.28684528753265554,1.0039585063642942,0.14129479326466987,0.9890635528526889,4.906470156877406e-09,4.42533,4.76796
15.63792331085085,0.28692681618293847,1.0042438566402845,0.1413531050322294,0.9894717352256056,4.906470156877406e-09,4.42533,4.76796
15.655877298578577,0.28700834483322135,1.0045292069162746,0.1414114167997889,0.9898799175985223,4.906470156877406e-09,4.42533,4.76796
15.673831286306305,0.2870898734835043,1.0048145571922649,0.14146972856734846,0.9902880999714391,4.906470156877406e-09,4.42533,4.76796
15.691785274034032,0.28717140213378717,1.005099907468255,0.14152804033490798,0.9906962823443558,4.906470156877406e-09,4.42533,4.76796
15.709739261761761,0.2872092299948728,1.0052323049820546,0.14158635210246753,0.9911044647172725,4.906470156877406e-09,4.42533,4.76796
15.727693249489489,0.2872070861029299,1.0052248013602545,0.14154007014633374,0.990780491024336,4.906470156877406e-09,4.42533,4.76796
15.745647237217216,0.287204942210987,1.0052172977384544,0.14148068196154837,0.9903647737308384,4.906470156877406e-09,4.42533,4.76796
