r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Li-F,Average_SCL,lambda_BC
1.8406009545445445,1.2282479559111592,3.6847438677334776,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.8508836414414414,1.2321183408705427,3.6963550226116286,0.002061498327415109,0.006184494982245327,0.0,0.0,1.0,3.44935,3.28553
1.8611663283383382,1.2359887258299265,3.7079661774897796,0.002577549642814013,0.00773264892844204,0.0,0.0,1.0,3.44935,3.28553
1.8714490152352352,1.2398591107893102,3.719577332367931,0.0030936009582129293,0.009280802874638788,0.0,0.0,1.0,3.44935,3.28553
1.881731702132132,1.2370919635140238,3.7112758905420717,0.0036096522736118334,0.010828956820835501,0.0,0.0,0.752800327649007,3.44935,3.28553
1.8920143890290289,1.2250384788987079,3.675115436696124,0.004125703589010738,0.012377110767032216,0.0,0.0,0.752800327649007,3.44935,3.28553
1.902297075925926,1.2129849942833917,3.6389549828501755,0.004641754904409654,0.013925264713228962,0.0,0.0,0.752800327649007,3.44935,3.28553
1.9125797628228227,1.200931509668076,3.602794529004228,0.0051578062198085585,0.015473418659425676,0.0,0.0,0.752800327649007,3.44935,3.28553
1.9228624497197195,1.18887802505276,3.56663407515828,0.0056738575352074634,0.01702157260562239,0.0,0.0,0.752800327649007,3.44935,3.28553
1.9331451366166166,1.176824540437444,3.530473621312332,0.006189908850606379,0.018569726551819137,0.0,0.0,0.752800327649007,3.44935,3.28553
1.9434278235135134,1.1572573408319795,3.4717720224959385,0.006705960166005284,0.020117880498015852,0.0,0.0,0.752800327649007,3.44935,3.28553
1.9537105104104102,1.1327449027692609,3.398234708307783,0.007222011481404189,0.021666034444212567,0.0,0.0,0.752800327649007,3.44935,3.28553
1.9639931973073073,1.1082324647065418,3.324697394119626,0.007738062796803104,0.023214188390409313,0.0,0.0,0.752800327649007,3.44935,3.28553
1.974275884204204,1.0837200266438234,3.2511600799314704,0.009309681873058468,0.027929045619175405,0.0,0.0,0.752800327649007,3.44935,3.28553
1.984558571101101,1.0592075885811048,3.1776227657433145,0.011110053687713459,0.03333016106314038,0.0,0.0,0.752800327649007,3.44935,3.28553
1.994841257997998,1.0337355091544689,3.101206527463407,0.012910425502368487,0.038731276507105464,0.0,0.0,0.752800327649007,3.44935,3.28553
2.005123944894895,1.0076749176406674,3.0230247529220025,0.014710797317023516,0.04413239195107055,0.0,0.0,0.752800327649007,3.44935,3.28553
2.015406631791792,0.9816143261268665,2.9448429783805996,0.016511169131678508,0.04953350739503552,0.02343265670836682,0.07029797012510046,0.752800327649007,3.44935,3.28553
2.0256893186886886,0.9555537346130656,2.8666612038391968,0.0183115409463335,0.054934622839000496,0.02670098180123361,0.08010294540370083,0.752800327649007,3.44935,3.28553
