r (A),g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
4.146579357097097,0.06832544519513474,1.7984457641749865,0.084354257618834,0.6071389484512967,0.0009394234791389921,1.278181149560592,0.013875811169235232,0.7180381658960372,0.06346082227263909,1.0538385307373952,0.05330928064237177,0.30476189138997245,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.16149511018018,0.06848945515798298,1.8027627945598526,0.08452438955850544,0.6083634714317115,0.0009690366185935534,1.318472836399014,0.013820057721887241,0.7151530658764511,0.06737874835541147,1.118900112336011,0.05439247880092641,0.310954387622774,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.176410863263263,0.06845985197792297,1.801983586848392,0.08469452149817687,0.6095879944121263,0.0010175188210525315,1.38443780177229,0.013757530923840845,0.7119174620734728,0.07084474304698869,1.1764568634544117,0.05547567695948104,0.3171468838555755,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.1913266163463465,0.06840012241004495,1.800411399678013,0.08486465343784831,0.6108125173925412,0.0010653801714397958,1.449558034783269,0.013693169625478466,0.708586927514652,0.07443747006827385,1.2361181478478867,0.05655887511803568,0.32333938008837704,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.206242369429429,0.06834039284216693,1.7988392125076342,0.08513470459099859,0.6127562079397639,0.0011131629284971917,1.5145713335787958,0.01362880832711609,0.7052563929558313,0.07998834808104363,1.3282967380361501,0.05764207327659025,0.3295318763211782,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.221158122512512,0.06828066327428893,1.7972670253372554,0.08541372716906989,0.6147644702305645,0.0011609456855545901,1.5795846323743263,0.013564447028753712,0.7019258583970105,0.08354489862444434,1.3873572712112243,0.058725271435144895,0.33572437255397974,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.236073875595595,0.06822093370641091,1.7956948381668765,0.08569274974714117,0.6167727325213649,0.001169170703568304,1.5907756055758489,0.013500085730391331,0.6985953238381896,0.0868497488632348,1.4422380369376975,0.0595540203206484,0.3404622169741243,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.250989628678679,0.0681612041385329,1.7941226509964976,0.08597177232521247,0.6187809948121654,0.0011769772062391684,1.601397146105194,0.013435724432028952,0.6952647892793687,0.09032082480963989,1.4998791680236176,0.060015556732133206,0.3431007577312781,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.265905381761762,0.06810147457065488,1.7925504638261187,0.08625079490328375,0.6207892571029658,0.0011847837089100327,1.612018686634539,0.013371363133666572,0.6919342547205478,0.09396486005991402,1.560392483429552,0.06047709314361801,0.34573929848843193,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.280821134844845,0.06792830658613033,1.7879923782202443,0.08652981748135505,0.6227975193937664,0.001192590211580897,1.622640227163884,0.013294124750564839,0.6879373635649441,0.0978469855225403,1.624859555351439,0.060938629555102805,0.34837783924558574,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
