r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
2.5077378054104105,0.13129062067394573,0.6039368551001505,0.16361342248227867,0.4515730460510892,0.24947179489126328,1.7213553847497165,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5133731712652656,0.13025462574302255,0.5991712784179037,0.16923898624956288,0.4670996020487936,0.24660092722066757,1.7015463978226062,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5190085371201203,0.1292186308120994,0.5944057017356573,0.17486455001684661,0.4826261580464967,0.2437300595500721,1.6817374108954974,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.524643902974975,0.12818263588117626,0.5896401250534109,0.18119904499995723,0.5001093641998821,0.24085919187947666,1.661928423968389,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.53027926882983,0.12714664095025305,0.5848745483711641,0.18776104253703935,0.5182204774022287,0.23798832420888097,1.6421194370412786,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.535914634684685,0.12611064601932992,0.5801089716889177,0.19432304007412096,0.5363315906045739,0.2351174565382855,1.6223104501141699,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5415500005395395,0.12523919674253642,0.5761003050156676,0.20088503761120252,0.5544427038069191,0.23232122290756443,1.6030164380621945,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5471853663943946,0.12440371699644139,0.5722570981836305,0.20744703514828464,0.5725538170092657,0.2297702246907105,1.5854145503659025,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5528207322492493,0.12356823725034644,0.5684138913515937,0.21400903268536625,0.5906649302116109,0.22721922647385678,1.5678126626696118,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.558456098104104,0.12273275750425149,0.5645706845195569,0.22049072624802754,0.6085544044445561,0.22466822825700308,1.5502107749733212,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.564091463958959,0.12189727775815647,0.5607274776875198,0.2267822368361276,0.6259189736677123,0.22211723004014916,1.5326088872770292,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.569726829813814,0.12106179801206152,0.5568842708554831,0.2330737474242272,0.6432835428908672,0.21956623182329543,1.5150069995807385,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.575362195668669,0.12018415782993132,0.5528471260176842,0.23936525801232733,0.6606481121140235,0.21701523360644148,1.4974051118844462,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5809975615235237,0.11923171087774137,0.5484658700376104,0.24565676860042693,0.6780126813371784,0.2144383970440317,1.4796249396038186,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5866329273783784,0.1182792639255514,0.5440846140575365,0.2519482791885265,0.6953772505603333,0.2118539796297066,1.4617924594449754,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.5922682932332335,0.11732681697336138,0.5397033580774624,0.2586412932736642,0.7138499694353133,0.2092695622153813,1.4439599792861308,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.597903659088088,0.1163743700211714,0.5353221020973885,0.2658797309683013,0.7338280574725118,0.2066851448010562,1.4261274991272879,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.603539024942943,0.11542192306898144,0.5309408461173147,0.2731181686629385,0.7538061455097103,0.20410072738673113,1.4082950189684447,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.609174390797798,0.1144694761167914,0.5265595901372405,0.28035660635757614,0.7737842335469103,0.20151630997240583,1.3904625388096001,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6148097566526527,0.11369754874178101,0.5230087242121927,0.28759504405221326,0.7937623215841086,0.19906438469014934,1.3735442543620304,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.620445122507508,0.11294561693327934,0.5195498378930851,0.2948334817468509,0.8137404096213087,0.1969032770282033,1.3586326114946026,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6260804883623625,0.11219368512477776,0.5160909515739778,0.30211699258539443,0.8338428995356887,0.1947421693662574,1.343720968627176,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.631715854217217,0.11144175331627618,0.5126320652548705,0.30953048311747267,0.8543041334042247,0.19258106170431152,1.3288093257597495,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6373512200720723,0.11068982150777451,0.5091731789357629,0.31694397364955157,0.8747653672727624,0.1904199540423655,1.313897682892322,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.642986585926927,0.10993788969927293,0.5057142926166556,0.32435746418162986,0.8952266011412985,0.18825884638041962,1.2989860400248954,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6486219517817817,0.10925214462881307,0.5025598652925402,0.3317709547137081,0.9156878350098345,0.18609773871847377,1.2840743971574688,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.654257317636637,0.10865059920893257,0.4997927563610899,0.33918444524578695,0.9361490688783721,0.1838986301228264,1.2689005478475022,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6598926834914915,0.10804905378905212,0.49702564742963984,0.34631281047518475,0.9558233569115101,0.18169296347781053,1.2536814479968925,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6655280493463467,0.10744750836917163,0.4942585384981896,0.35298495199107177,0.9742384674953583,0.17948729683279444,1.2384623481462815,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6711634152012014,0.10684596294929119,0.4914914295667396,0.35965709350695824,0.992653578079205,0.17728163018777854,1.2232432482956719,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.676798781056056,0.10624441752941076,0.4887243206352896,0.3663292350228448,1.0110686886630518,0.17507596354276264,1.2080241484450622,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.682434146910911,0.10564287210953027,0.4859572117038393,0.3730013765387318,1.0294837992469,0.1728702968977466,1.1928050485944515,0.24517779671093248,0.020435870418039813,2.28196,2.63857
