r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
4.320513541741741,0.14026583038246818,0.771462067103575,0.14363286961358923,0.7899807828747407,0.088372958953367,0.02055979802327012,2.67993,0
4.32839769054054,0.14110500519742838,0.7760775285858561,0.1434442988613413,0.7889436437373771,0.088372958953367,0.02055979802327012,2.67993,0
4.336281839339339,0.1419441800123886,0.7806929900681372,0.1432557281090934,0.7879065046000137,0.088372958953367,0.02055979802327012,2.67993,0
4.344165988138138,0.14278335482734877,0.7853084515504183,0.1430671573568455,0.7868693654626502,0.088372958953367,0.02055979802327012,2.67993,0
4.352050136936937,0.14362252964230898,0.7899239130326994,0.14287858660459757,0.7858322263252866,0.088372958953367,0.02055979802327012,2.67993,0
4.3599342857357355,0.14449098717370512,0.7947004294553781,0.14305254236353043,0.7867889829994174,0.088372958953367,0.02055979802327012,2.67993,0
4.367818434534534,0.14537608770399038,0.7995684823719471,0.14336815135028846,0.7885248324265866,0.088372958953367,0.02055979802327012,2.67993,0
4.375702583333333,0.14626118823427564,0.804436535288516,0.1436837603370465,0.7902606818537558,0.088372958953367,0.02055979802327012,2.67993,0
4.383586732132132,0.1471462887645609,0.809304588205085,0.14399936932380455,0.7919965312809251,0.0020127728309298517,0.02055979802327012,2.67993,0
4.391470880930931,0.14803138918941308,0.814172640541772,0.14405122841915816,0.7922817563053699,0.0020127728309298517,0.02055979802327012,2.67993,0
4.39935502972973,0.1489164894940978,0.8190406922175378,0.14388223173395978,0.7913522745367787,0.0020127728309298517,0.02055979802327012,2.67993,0
4.4072391785285285,0.14980158979878253,0.8239087438933038,0.14371323504876138,0.7904227927681875,0.0020127728309298517,0.02055979802327012,2.67993,0
4.415123327327327,0.15068669010346722,0.8287767955690697,0.14354423836356298,0.7894933109995963,0.0020127728309298517,0.02055979802327012,2.67993,0
4.423007476126126,0.15157179047517258,0.8336448476134491,0.14342047480553768,0.7888126114304572,0.0020127728309298517,0.02055979802327012,2.67993,0
4.430891624924925,0.15245689100545784,0.8385129005300181,0.14337390477750817,0.7885564762762949,0.0020127728309298517,0.02055979802327012,2.67993,0
4.438775773723724,0.15334199153574313,0.8433809534465871,0.14332733474947867,0.7883003411221327,0.0020127728309298517,0.02055979802327012,2.67993,0
4.446659922522523,0.1542270920660284,0.848249006363156,0.14328076472144916,0.7880442059679703,0.0020127728309298517,0.02055979802327012,2.67993,0
4.454544071321322,0.15510831002437853,0.8530957051340818,0.14324611214567515,0.7878536168012134,0.0020127728309298517,0.02055979802327012,2.67993,0
4.4624282201201195,0.15596279339065586,0.8577953636486072,0.14326075551100467,0.7879341553105257,0.0020127728309298517,0.02055979802327012,2.67993,0
4.470312368918918,0.1568172767569333,0.8624950221631331,0.1432753988763342,0.788014693819838,0.0020127728309298517,0.02055979802327012,2.67993,0
4.478196517717717,0.15767176012321074,0.867194680677659,0.14329004224166372,0.7880952323291505,0.0020127728309298517,0.02055979802327012,2.67993,0
4.486080666516516,0.15870267062362645,0.8728646884299455,0.14330580232556242,0.7881819127905932,0.0020127728309298517,0.02055979802327012,2.67993,0
4.493964815315315,0.15973374176755886,0.8785355797215737,0.1433765579261337,0.7885710685937354,0.0020127728309298517,0.02055979802327012,2.67993,0
4.501848964114114,0.16076481291149125,0.8842064710132018,0.14344731352670503,0.7889602243968776,0.0020127728309298517,0.02055979802327012,2.67993,0
4.509733112912913,0.16179588405542364,0.88987736230483,0.14351806912727635,0.7893493802000199,0.0020127728309298517,0.02055979802327012,2.67993,0
4.517617261711711,0.16282695519935603,0.8955482535964582,0.14358882472784765,0.789738536003162,0.0020127728309298517,0.02055979802327012,2.67993,0
4.52550141051051,0.16385802634328844,0.9012191448880864,0.1435031513614083,0.7892673324877456,0.0020127728309298517,0.02055979802327012,2.67993,0
4.533385559309309,0.16488909748722083,0.9068900361797145,0.1433888093399013,0.7886384513694572,0.0020127728309298517,0.02055979802327012,2.67993,0
4.541269708108108,0.16592016863115325,0.9125609274713428,0.14341100258112766,0.7887605141962021,0.0020127728309298517,0.02055979802327012,2.67993,0
4.549153856906907,0.1669512397750856,0.9182318187629709,0.14362981489199506,0.7899639819059728,0.0020127728309298517,0.02055979802327012,2.67993,0
4.557038005705706,0.16798231091901802,0.9239027100545991,0.14384862720286246,0.7911674496157435,0.0020127728309298517,0.02055979802327012,2.67993,0
4.5649221545045044,0.1690133820629504,0.9295736013462272,0.14406743951372986,0.7923709173255141,0.0020127728309298517,0.02055979802327012,2.67993,0
4.572806303303303,0.17004445320688283,0.9352444926378555,0.14428625182459726,0.7935743850352849,0.0020127728309298517,0.02055979802327012,2.67993,0
4.580690452102102,0.17107552435081522,0.9409153839294837,0.14450506413546466,0.7947778527450555,0.0020127728309298517,0.02055979802327012,2.67993,0
4.588574600900901,0.1721065954947476,0.9465862752211118,0.14472387644633206,0.7959813204548263,0.0020127728309298517,0.02055979802327012,2.67993,0
4.5964587496997,0.17311402473899967,0.9521271360644982,0.14494268875719946,0.7971847881645969,0.0020127728309298517,0.02055979802327012,2.67993,0
4.604342898498499,0.17372358487787615,0.9554797168283188,0.14516150106806683,0.7983882558743676,0.0020127728309298517,0.02055979802327012,2.67993,0
4.6122270472972975,0.17433314501675262,0.9588322975921394,0.14538031337893426,0.7995917235841383,0.0020127728309298517,0.02055979802327012,2.67993,0
4.620111196096096,0.17494270515562907,0.9621848783559599,0.14559912568980163,0.800795191293909,0.0020127728309298517,0.02055979802327012,2.67993,0
4.627995344894894,0.17604024184656625,0.9682213301561143,0.14581793800066903,0.8019986590036796,0.0020127728309298517,0.02055979802327012,2.67993,0
4.635879493693693,0.1771755213195656,0.9744653672576108,0.14603675031153643,0.8032021267134503,0.0020127728309298517,0.02055979802327012,2.67993,0
4.643763642492492,0.17831080079256495,0.9807094043591073,0.1462555626224038,0.8044055944232209,0.0020127728309298517,0.02055979802327012,2.67993,0
4.651647791291291,0.17944608026556433,0.9869534414606038,0.14645909158490536,0.8055250037169794,0.0020127728309298517,0.02055979802327012,2.67993,0
4.65953194009009,0.18058135973856368,0.9931974785621003,0.1465732066523409,0.8061526365878748,0.0020127728309298517,0.02055979802327012,2.67993,0
4.6674160888888885,0.18171663921156306,0.9994415156635967,0.1466873217197764,0.8067802694587701,0.0020127728309298517,0.02055979802327012,2.67993,0
4.675300237687687,0.1828519186845624,1.0056855527650932,0.14686766225088596,0.8077721423798728,0.0020127728309298517,0.02055979802327012,2.67993,0
4.683184386486486,0.18398719815756176,1.0119295898665897,0.14716432430075718,0.8094037836541644,0.0020127728309298517,0.02055979802327012,2.67993,0
4.691068535285285,0.1851224776305611,1.018173626968086,0.14746098635062838,0.811035424928456,0.0020127728309298517,0.02055979802327012,2.67993,0
4.698952684084084,0.18625775710356046,1.0244176640695826,0.14775764840049957,0.8126670662027476,0.0020127728309298517,0.02055979802327012,2.67993,0
4.706836832882883,0.18739303657655987,1.0306617011710792,0.1480543104503708,0.8142987074770393,0.0020127728309298517,0.02055979802327012,2.67993,0
4.7147209816816815,0.18852831604955922,1.0369057382725757,0.14835097250024198,0.8159303487513309,0.0020127728309298517,0.02055979802327012,2.67993,0
4.72260513048048,0.18966359552255857,1.0431497753740722,0.14864763455011318,0.8175619900256225,0.0020127728309298517,0.02055979802327012,2.67993,0
4.730489279279279,0.19079887499555795,1.0493938124755686,0.14894429659998437,0.8191936312999141,0.0020127728309298517,0.02055979802327012,2.67993,0
4.738373428078078,0.1916874994568493,1.054281247012671,0.1492409586498556,0.8208252725742057,0.0020127728309298517,0.02055979802327012,2.67993,0
4.746257576876877,0.19246033875471846,1.0585318631509515,0.1495376206997268,0.8224569138484973,0.0020127728309298517,0.02055979802327012,2.67993,0
4.754141725675676,0.1932331780525877,1.0627824792892322,0.14983428274959798,0.8240885551227889,0.0020127728309298517,0.02055979802327012,2.67993,0
