r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Sm-Cl,g(r)_unweighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
0.8262837709609611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8341531402082083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8420225094554555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8498918787027028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.85776124794995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8656306171971972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8734999864444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8813693556916917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8892387249389391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.8971080941861863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9049774634334335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9128468326806808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.920716201927928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9285855711751753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9364549404224225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9443243096696697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.952193678916917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9600630481641642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9679324174114116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9758017866586588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.983671155905906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9915405251531533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.9994098944004005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0072792636476477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.015148632894895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0230180021421422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0308873713893896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0387567406366367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
