r (A),g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_Ca-Cl,Average_SCL,lambda_BC
4.3360536195715715,0.14562594623711891,0.5096908118299162,0.6786878534225976,1.1877037434895457,0.25576849322266326,1.7903794525586427,0.7527624678951269,4.7543,7.72598
4.345998696680681,0.14672925971180945,0.513552408991333,0.6712547337641699,1.1746957840872971,0.2581625112131679,1.807137578492175,0.7527624678951269,4.7543,7.72598
4.3559437737897895,0.14783257318649987,0.5174140061527495,0.6636897815462532,1.161457117705943,0.26055652920367234,1.823895704425706,0.7527624678951269,4.7543,7.72598
4.365888850898899,0.1489358866611904,0.5212756033141663,0.6561248293283358,1.1482184513245874,0.2616945233064615,1.83186166314523,0.7527624678951269,4.7543,7.72598
4.375833928008008,0.15003126962070495,0.5251094436724673,0.6485598771104185,1.1349797849432322,0.2626596454549926,1.8386175181849478,0.7527624678951269,4.7543,7.72598
4.385779005117117,0.15112004854265015,0.5289201698992755,0.6419396671462289,1.1233944175059003,0.26362476760352355,1.8453733732246647,0.7527624678951269,4.7543,7.72598
4.395724082226226,0.15220882746459546,0.532730896126084,0.6359672982303481,1.112942771903109,0.26458988975205466,1.8521292282643824,0.7527624678951269,4.7543,7.72598
4.405669159335336,0.15329760638654077,0.5365416223528926,0.6299949293144674,1.1024911263003179,0.2655550119005857,1.8588850833041,0.7527624678951269,4.7543,7.72598
4.415614236444444,0.15438638530848597,0.5403523485797008,0.6240225603985873,1.0920394806975275,0.2665201340491168,1.865640938343817,0.7527624678951269,4.7543,7.72598
4.425559313553554,0.15547516423043128,0.5441630748065094,0.6180501914827066,1.0815878350947363,0.26748525619764785,1.8723967933835346,0.7527624678951269,4.7543,7.72598
4.435504390662663,0.15656394315237657,0.5479738010333179,0.6124851981902761,1.071849096832983,0.26845037834617896,1.8791526484232524,0.7527624678951269,4.7543,7.72598
4.4454494677717715,0.1576527220743218,0.5517845272601262,0.6070029799597896,1.0622552149296316,0.26882509342331534,1.8817756539632071,0.7527624678951269,4.7543,7.72598
4.455394544880881,0.15874150099626713,0.5555952534869348,0.6015207617293026,1.0526613330262793,0.2685649597214959,1.8799547180504712,0.7527624678951269,4.7543,7.72598
4.46533962198999,0.15983027991821241,0.5594059797137434,0.5960385434988155,1.043067451122927,0.26830482601967653,1.8781337821377353,0.7527624678951269,4.7543,7.72598
4.475284699099099,0.1609290924410853,0.5632518235437984,0.590556325268329,1.0334735692195756,0.2680446923178571,1.8763128462249996,0.7527624678951269,4.7543,7.72598
4.485229776208208,0.16216321686640403,0.567571259032414,0.5851519645466983,1.0240159379567217,0.2677845586160377,1.8744919103122637,0.7527624678951269,4.7543,7.72598
4.495174853317318,0.1633973412917228,0.5718906945210297,0.5803373937671866,1.0155904390925765,0.2675244249142183,1.8726709743995278,0.7527624678951269,4.7543,7.72598
4.505119930426426,0.16463146571704146,0.576210130009645,0.5755228229876757,1.0071649402284322,0.2672642912123989,1.870850038486792,0.7527624678951269,4.7543,7.72598
4.515065007535536,0.16586559014236024,0.5805295654982607,0.570708252208164,0.9987394413642869,0.2670041575105795,1.8690291025740562,0.7527624678951269,4.7543,7.72598
4.525010084644644,0.1670997145676789,0.584849000986876,0.5658936814286528,0.9903139425001424,0.2667440238087601,1.8672081666613205,0.7527624678951269,4.7543,7.72598
4.534955161753754,0.16833383899299764,0.5891684364754917,0.5610791106491413,0.9818884436359971,0.2664838901069407,1.8653872307485846,0.7527624678951269,4.7543,7.72598
4.544900238862863,0.1695679634183164,0.5934878719641073,0.5574311623294835,0.975504534076596,0.266527762884307,1.865694340190149,0.7527624678951269,4.7543,7.72598
4.5548453159719715,0.17080208784363504,0.5978073074527226,0.5555178719573408,0.9721562759253464,0.26664813815788935,1.866536967105225,0.7527624678951269,4.7543,7.72598
4.564790393081081,0.17203621226895383,0.6021267429413383,0.5536045815851981,0.9688080177740965,0.2667685134314717,1.8673795940203013,0.7527624678951269,4.7543,7.72598
4.57473547019019,0.17327033669427258,0.606446178429954,0.5516912912130554,0.9654597596228467,0.26688888870505395,1.8682222209353774,0.7527624678951269,4.7543,7.72598
4.584680547299299,0.17461057846691183,0.6111370246341913,0.5497780008409127,0.9621115014715971,0.2670092639786363,1.8690648478504537,0.7527624678951269,4.7543,7.72598
4.594625624408408,0.17602382395987518,0.6160833838595631,0.5478647104687698,0.9587632433203471,0.26712963925221855,1.8699074747655298,0.7527624678951269,4.7543,7.72598
4.604570701517518,0.17743706945283858,0.621029743084935,0.5459514200966271,0.9554149851690973,0.2672500145258009,1.870750101680606,0.7527624678951269,4.7543,7.72598
4.614515778626626,0.17885031494580186,0.6259761023103064,0.5440381297244845,0.9520667270178477,0.2673703897993832,1.8715927285956822,0.7527624678951269,4.7543,7.72598
4.624460855735736,0.18026356043876524,0.6309224615356782,0.5421248393523417,0.9487184688665978,0.2674907650729655,1.8724353555107582,0.7527624678951269,4.7543,7.72598
4.634405932844845,0.18167680593172864,0.6358688207610501,0.5370018647481318,0.9397532633092305,0.2676111403465478,1.8732779824258345,0.7527624678951269,4.7543,7.72598
4.644351009953954,0.18309005142469187,0.6408151799864215,0.5312230831537166,0.9296403955190038,0.26773151562013014,1.8741206093409106,0.7527624678951269,4.7543,7.72598
4.654296087063063,0.18450329691765527,0.6457615392117934,0.5254443015593008,0.9195275277287762,0.26770113398037193,1.8739079378626031,0.7527624678951269,4.7543,7.72598
4.664241164172172,0.18591654241061867,0.6507078984371653,0.519665519964885,0.9094146599385486,0.2672550534117317,1.8707853738821218,0.7527624678951269,4.7543,7.72598
4.674186241281281,0.1873297879035819,0.6556542576625366,0.5138867383704697,0.899301792148322,0.2668089728430916,1.8676628099016408,0.7527624678951269,4.7543,7.72598
4.68413131839039,0.1890242969059422,0.6615850391707976,0.5104176772982297,0.8932309352719019,0.26636289227445137,1.8645402459211593,0.7527624678951269,4.7543,7.72598
4.6940763954995,0.19091261459816564,0.6681941510935796,0.5078383143077,0.8887170500384748,0.26591681170581116,1.861417681940678,0.7527624678951269,4.7543,7.72598
4.704021472608608,0.19280093229038886,0.674803263016361,0.5052589513171705,0.8842031648050481,0.265470731137171,1.858295117960197,0.7527624678951269,4.7543,7.72598
4.713966549717718,0.1946892499826123,0.681412374939143,0.5026795883266407,0.8796892795716211,0.26502465056853086,1.8551725539797157,0.7527624678951269,4.7543,7.72598
4.723911626826827,0.19657756767483575,0.688021486861925,0.500100225336111,0.875175394338194,0.26457856999989066,1.8520499899992342,0.7527624678951269,4.7543,7.72598
4.733856703935936,0.198465885367059,0.6946305987847065,0.4975208623455814,0.8706615091047674,0.2641324894312505,1.8489274260187532,0.7527624678951269,4.7543,7.72598
4.743801781045045,0.20035420305928245,0.7012397107074885,0.49498826485679087,0.8662294634993839,0.2632636003368788,1.8428452023581512,0.7527624678951269,4.7543,7.72598
4.753746858154154,0.2022425207515059,0.7078488226302705,0.4934676804067609,0.8635684407118315,0.26191669272639345,1.8334168490847538,0.7527624678951269,4.7543,7.72598
4.763691935263263,0.20413083844372912,0.7144579345530518,0.49194709595673114,0.8609074179242794,0.2605697851159082,1.8239884958113572,0.7527624678951269,4.7543,7.72598
4.773637012372372,0.20601915613595256,0.7210670464758339,0.4904265115067012,0.858246395136727,0.2592228775054229,1.8145601425379598,0.7527624678951269,4.7543,7.72598
4.783582089481482,0.2074602220337229,0.7261107771180301,0.48890592705667124,0.8555853723491745,0.25787596989493755,1.8051317892645624,0.7527624678951269,4.7543,7.72598
4.79352716659059,0.20859260460940734,0.7300741161329256,0.48738534260664146,0.8529243495616224,0.2565290622844523,1.7957034359911659,0.7527624678951269,4.7543,7.72598
