r (A),g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
2.3837863495495495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.398685014234234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.413583678918919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.4284823436036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.4433810082882883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.458279672972973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.4731783376576577,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.4880770023423424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.502975667027027,0.018205984128622975,0.054617952385868924,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.517874331711712,0.02625106612328873,0.07875319836986619,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.5327729963963965,0.034296148117954485,0.10288844435386346,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.5476716610810812,0.04234123011262024,0.12702369033786073,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.562570325765766,0.05548858626106214,0.16646575878318642,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.5774689904504506,0.07993746523406844,0.23981239570220536,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.5923676551351353,0.09602762898784953,0.2880828869635486,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.6072663198198196,0.133796998124185,0.401390994372555,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.6221649845045043,0.17168372206806495,0.5150511662041949,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.637063649189189,0.20483757649977885,0.6145127294993366,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.6519623138738737,0.24822220067701845,0.7446666020310554,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.6668609785585584,0.3118296451665041,0.9354889354995123,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.681759643243243,0.37972403358096335,1.13917210074289,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.696658307927928,0.44383031345049284,1.3314909403514785,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.7115569726126125,0.5095006351586646,1.528501905475994,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.7264556372972972,0.6080042905883225,1.8240128717649675,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.741354301981982,0.6793318152448402,2.037995445734521,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.7562529666666666,0.7347521920375153,2.204256576112546,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.7711516313513513,0.7936870942569866,2.38106128277096,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.786050296036036,0.8779277895672288,2.6337833687016867,-0.0004487926132469209,-0.0013463778397407628,0.0,0.0,1.0,5.09199,4.47675
2.8009489607207207,0.9593315258455271,2.8779945775365814,3.353162655236567e-06,1.0059487965709702e-05,0.0,0.0,1.0,5.09199,4.47675
2.8158476254054055,1.0189051003758376,3.056715301127513,0.00045549893855739406,0.0013664968156721822,0.0,0.0,1.0,5.09199,4.47675
2.83074629009009,1.0801096255546754,3.2403288766640266,0.0009076447144595515,0.0027229341433786546,0.0,0.0,1.0,5.09199,4.47675
2.845644954774775,1.1569572293079449,3.4708716879238346,0.0013597904903617092,0.0040793714710851275,0.0,0.0,1.0,5.09199,4.47675
2.8605436194594596,1.1997746331839563,3.599323899551869,0.0018119362662638663,0.005435808798791599,0.0,0.0,1.0,5.09199,4.47675
2.8754422841441443,1.2517957337518184,3.755387201255455,0.002264082042166024,0.0067922461264980725,0.0,0.0,1.0,5.09199,4.47675
2.890340948828829,1.2988359134692296,3.8965077404076887,0.002716227818068181,0.008148683454204544,0.0,0.0,1.0,5.09199,4.47675
2.9052396135135137,1.3335368370260396,4.000610511078119,0.003168373593970339,0.009505120781911017,0.0,0.0,1.0,5.09199,4.47675
2.9201382781981984,1.3550181792641873,4.065054537792562,0.0036205193698724963,0.010861558109617489,0.0,0.0,1.0,5.09199,4.47675
2.935036942882883,1.3853341990987267,4.1560025972961805,0.004072665145774654,0.012217995437323962,0.0,0.0,1.0,5.09199,4.47675
2.9499356075675673,1.393503768344396,4.180511305033188,0.004524810921676798,0.013574432765030394,0.0,0.0,1.0,5.09199,4.47675
2.964834272252252,1.4016733375900652,4.205020012770196,0.004976956697578955,0.014930870092736866,0.0,0.0,1.0,5.09199,4.47675
2.9797329369369367,1.4098429068357348,4.229528720507204,0.0059764688509226374,0.017929406552767913,0.006791404220008374,0.020374212660025124,0.6857813739417045,5.09199,4.47675
2.9946316016216215,1.4028865731858124,4.208659719557438,0.007132449713142292,0.021397349139426876,0.008353930364252806,0.02506179109275842,0.6857813739417045,5.09199,4.47675
3.009530266306306,1.3871025644836816,4.161307693451045,0.008288430575361947,0.024865291726085842,0.009916456508497236,0.02974936952549171,0.6857813739417045,5.09199,4.47675
3.024428930990991,1.371318555781551,4.113955667344653,0.009444411437581601,0.028333234312744805,0.011478982652741668,0.03443694795822501,0.6857813739417045,5.09199,4.47675
3.0393275956756756,1.35553454707942,4.0666036412382605,0.010600392299801255,0.03180117689940377,0.013041508796986099,0.0391245263909583,0.6857813739417045,5.09199,4.47675
3.0542262603603603,1.3397505383772892,4.019251615131868,0.011756373162020911,0.03526911948606273,0.01460403494123053,0.04381210482369159,0.6857813739417045,5.09199,4.47675
3.069124925045045,1.3239665296751584,3.971899589025475,0.012912354024240565,0.0387370620727217,0.01616656108547496,0.04849968325642488,0.6857813739417045,5.09199,4.47675
3.0840235897297297,1.3020517485245247,3.906155245573574,0.01406833488646022,0.04220500465938066,0.017729087229719394,0.05318726168915818,0.6857813739417045,5.09199,4.47675
3.0989222544144144,1.268976898316486,3.8069306949494583,0.015224315748679874,0.045672947246039625,0.019291613373963824,0.05787484012189147,0.6857813739417045,5.09199,4.47675
3.113820919099099,1.242436146679961,3.727308440039883,0.016380296610899528,0.04914088983269859,0.020854139518208255,0.06256241855462477,0.6857813739417045,5.09199,4.47675
3.128719583783784,1.2140179692008588,3.6420539076025764,0.018408780345229882,0.05522634103568965,0.022416665662452685,0.06724999698735806,0.6857813739417045,5.09199,4.47675
3.1436182484684685,1.1829356039990704,3.5488068119972116,0.02132746120889043,0.0639823836266713,0.02453065466164781,0.07359196398494343,0.6857813739417045,5.09199,4.47675
3.158516913153153,1.1440717002243521,3.432215100673057,0.02424614207255098,0.07273842621765295,0.02784134400157992,0.08352403200473976,0.6857813739417045,5.09199,4.47675
3.173415577837838,1.1074268472802717,3.3222805418408154,0.02716482293621153,0.08149446880863459,0.03115203334151203,0.0934561000245361,0.6857813739417045,5.09199,4.47675
3.1883142425225226,1.0807079486218187,3.2421238458654567,0.030083503799872076,0.09025051139961623,0.03446272268144414,0.10338816804433243,0.6857813739417045,5.09199,4.47675
3.2032129072072073,1.0518719421816645,3.1556158265449934,0.03300218466353262,0.09900655399059788,0.037773412021376254,0.11332023606412876,0.6857813739417045,5.09199,4.47675
3.218111571891892,1.001177649537628,3.0035329486128837,0.035920865527193174,0.10776259658157952,0.04108410136130836,0.1232523040839251,0.6857813739417045,5.09199,4.47675
3.2330102365765767,0.9798488273989234,2.9395464821967705,0.03982330960567964,0.11946992881703893,0.04439479070124048,0.13318437210372144,0.6857813739417045,5.09199,4.47675
3.2479089012612614,0.9508969734275134,2.8526909202825403,0.04431358794636523,0.1329407638390957,0.04770548004117259,0.14311644012351776,0.6857813739417045,5.09199,4.47675
3.262807565945946,0.9135335814782763,2.740600744434829,0.048803866287050815,0.14641159886115246,0.051530858862143675,0.15459257658643102,0.6857813739417045,5.09199,4.47675
3.277706230630631,0.8801363654781742,2.6404090964345226,0.05329414462773641,0.15988243388320925,0.05660487332991805,0.16981461998975417,0.6857813739417045,5.09199,4.47675
3.2926048953153155,0.8505753669064445,2.5517261007193337,0.05778442296842201,0.17335326890526603,0.06167888779769243,0.18503666339307728,0.6857813739417045,5.09199,4.47675
3.30750356,0.8198924295720325,2.4596772887160974,0.06247040297726025,0.18741120893178076,0.06675290226546665,0.20025870679639995,0.6857813739417045,5.09199,4.47675
3.3224022246846845,0.7895281255585778,2.3685843766757335,0.0684574408379684,0.2053723225139052,0.07182691673324103,0.2154807501997231,0.6857813739417045,5.09199,4.47675
3.337300889369369,0.7613351362256684,2.284005408677005,0.07444447869867654,0.22333343609602962,0.0769009312010154,0.23070279360304624,0.6857813739417045,5.09199,4.47675
3.352199554054054,0.7344739149032377,2.203421744709713,0.08043151655938467,0.24129454967815403,0.08247994415181577,0.24743983245544732,0.6857813739417045,5.09199,4.47675
3.3670982187387386,0.7079687995726204,2.1239063987178612,0.08643773210063445,0.25931319630190336,0.08845450899621778,0.26536352698865334,0.6857813739417045,5.09199,4.47675
3.3819968834234233,0.684402329635821,2.0532069889074633,0.0944780369532527,0.2834341108597581,0.09442907384061978,0.28328722152185937,0.6857813739417045,5.09199,4.47675
3.396895548108108,0.6605216058693995,1.9815648176081986,0.10251834180587094,0.3075550254176128,0.1004036386850218,0.30121091605506545,0.6857813739417045,5.09199,4.47675
3.4117942127927927,0.630399322525705,1.891197967577115,0.11055864665848916,0.3316759399754675,0.1063782035294238,0.3191346105882714,0.6857813739417045,5.09199,4.47675
3.4266928774774774,0.6123882142950392,1.8371646428851176,0.1185989515111074,0.3557968545333222,0.1127439822757143,0.3382319468271429,0.6857813739417045,5.09199,4.47675
3.441591542162162,0.5942285937714298,1.7826857813142893,0.12737075672650064,0.38211227017950194,0.11968988157585897,0.3590696447275769,0.6857813739417045,5.09199,4.47675
3.456490206846847,0.5747707209091251,1.7243121627273754,0.13643291347237219,0.4092987404171166,0.12663578087600363,0.3799073426280109,0.6857813739417045,5.09199,4.47675
3.4713888715315315,0.5510915408705879,1.6532746226117638,0.14549507021824373,0.4364852106547312,0.1335816801761483,0.4007450405284449,0.6857813739417045,5.09199,4.47675
3.4862875362162162,0.5280915063321536,1.5842745189964609,0.15423272503574026,0.4626981751072208,0.14052757947629296,0.4215827384288789,0.6857813739417045,5.09199,4.47675
3.501186200900901,0.5118142476543843,1.535442742963153,0.1624649020457727,0.48739470613731817,0.14795712547883916,0.4438713764365175,0.6857813739417045,5.09199,4.47675
3.5160848655855856,0.4948917957340965,1.4846753872022895,0.17069707905580517,0.5120912371674156,0.15549437836015767,0.466483135080473,0.6857813739417045,5.09199,4.47675
3.5309835302702703,0.47206621308932484,1.4161986392679746,0.17892925606583765,0.536787768197513,0.16303163124147618,0.4890948937244286,0.6857813739417045,5.09199,4.47675
3.545882194954955,0.4574365111015706,1.3723095333047117,0.1876365563413267,0.5629096690239801,0.17056888412279472,0.5117066523683842,0.6857813739417045,5.09199,4.47675
3.5607808596396398,0.44321729673307486,1.3296518901992247,0.19636765298797504,0.5891029589639252,0.17856575911233413,0.5356972773370025,0.6857813739417045,5.09199,4.47675
3.5756795243243245,0.42924499386177667,1.28773498158533,0.2050987496346234,0.6152962489038702,0.18667320591541908,0.5600196177462573,0.6857813739417045,5.09199,4.47675
3.590578189009009,0.41539996919585187,1.2461999075875556,0.21459863081496036,0.6437958924448811,0.1947806527185041,0.5843419581555123,0.6857813739417045,5.09199,4.47675
3.605476853693694,0.4027006163065794,1.2081018489197382,0.2248264870531526,0.6744794611594579,0.20316306086557326,0.6094891825967198,0.6857813739417045,5.09199,4.47675
3.6203755183783786,0.3919738401644106,1.1759215204932318,0.2350543432913449,0.7051630298740347,0.2120188876344056,0.6360566629032168,0.6857813739417045,5.09199,4.47675
3.6352741830630633,0.38124706402224173,1.1437411920667253,0.24536634856167175,0.7360990456850153,0.22087471440323794,0.6626241432097139,0.6857813739417045,5.09199,4.47675
