r (A),g(r)_weighted_F-F,g(r)_weighted_K-F,g(r)_weighted_Mg-F,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-F,S_i_K-F,S_i_Mg-F,S_i_Na-F,Average_SCL,lambda_BC
3.231912316909091,0.5464880000641561,0.19799936683713967,0.003850680776461433,0.0038146671427485433,0.05924318517241663,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.291762545,0.5636629122638482,0.17998489991305583,0.004078601757391446,0.004158077933357353,0.05649929297938709,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.351612773090909,0.5790138234981499,0.163852402031851,0.004183961415052239,0.004656976074262234,0.05405363865364387,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.411463001181818,0.5903671390273356,0.15050312524595486,0.004345360200277716,0.005457296710927759,0.05283250059280695,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.4713132292727273,0.5961179661438062,0.14074413780965786,0.004644024068963713,0.005912120911327436,0.05149483410080798,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.5311634573636366,0.5984686354523966,0.13244897439902673,0.005196954580774073,0.0057154110650106905,0.05116200414759731,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.5910136854545454,0.5982080955963057,0.1262761047382082,0.006028438496349598,0.005360822656703007,0.052104082171260835,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.6508639135454546,0.5946361225578142,0.12182044923192993,0.006995763288671382,0.00496724734514861,0.05321980363446454,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.710714141636364,0.5853249143730666,0.11853392554446276,0.007996546152360768,0.005232937396701999,0.055013283452509464,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
3.7705643697272726,0.5765087937994016,0.11658271144822983,0.008915663965748456,0.00540057531748275,0.05737703029290923,0.09834974280426378,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
