r (A),g(r)_weighted_K-Na,g(r)_weighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
8.500229940606062,0.027331719910449755,0.025097069826955188,0.42196469225627553,0.07497531837870659,0.11490503313416826,0.13380706512872462,3.3932145318302256e-24,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
8.697909706666668,0.025562347125051007,0.021616125331779364,0.40904526826622606,0.08051440137903133,0.12620020389725836,0.14420863071283702,3.3932145318302256e-24,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
8.895589472727274,0.023576438264820525,0.01919838318716244,0.3991617874114148,0.08473130535445357,0.13660485577764775,0.1533374342385829,3.3932145318302256e-24,3.065615962984109e-11,1.4425586933958475e-09,2.75784,0
9.09326923878788,0.021443353305185646,0.01755898481250677,0.39430403212718557,0.08778675652096012,0.14596230345015956,0.1596528636910243,3.3932145318302256e-24,2.0963209375938443e-11,1.4425586933958475e-09,2.75784,0
9.290949004848486,0.01957641282016123,0.016455269869024163,0.3941064038929999,0.08940153287688932,0.1542808159976541,0.16308439970852043,3.3932145318302256e-24,9.382091410581631e-14,1.4425586933958475e-09,2.75784,0
9.488628770909092,0.01796866392924808,0.015788942216466925,0.4011439231487465,0.08956203606379748,0.15923715903400315,0.1627573932858045,3.3932145318302256e-24,9.382091410581631e-14,1.4425586933958475e-09,2.75784,0
9.686308536969698,0.017353667894465453,0.015805636099791992,0.41747074625540015,0.08649190033058744,0.16035738501778882,0.15564908537561523,3.3932145318302256e-24,9.382091410581631e-14,1.0693777848009328e-09,2.75784,0
9.883988303030304,0.01685927846289538,0.016355732071961747,0.4321496103827979,0.08287075766216735,0.15875973650234565,0.1458577761880234,3.3932145318302256e-24,9.382091410581631e-14,4.6482002115810656e-10,2.75784,0
10.08166806909091,0.017108606104334158,0.017031417594610365,0.44196817045371306,0.07924961499374729,0.15455779250073357,0.1372230834476772,3.3932145318302256e-24,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
10.279347835151516,0.017556507923804112,0.018663547149048835,0.45141942587018674,0.07599147346735938,0.1468473937869672,0.13248136617002307,3.3932145318302256e-24,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
10.477027601212122,0.01870853591789616,0.02029567670348731,0.4587636204459948,0.07356191775934878,0.1394630036207877,0.1282261804444909,5.591001816348081e-25,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
