r (A),g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_K-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,g(r)_weighted_Li-Na,g(r)_weighted_K-Li,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_K-K,S_i_Li-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
2.404589972848485,0.11413027571886372,0.1383442953606908,0.296031224207685,0.06835819085710822,0.027341069710052526,0.00369355803181375,0.0,0.00018699015113162365,0.0,0.0,0.247653443551669,0.011993653632155675,1.0,2.52477,2.421498
2.454685597282828,0.09438115423692682,0.11921283760245716,0.3695663206426113,0.08284312123424807,0.048881077396504345,0.005661672820217443,0.0030641866582308687,0.0002800192793484919,0.0,0.0,0.247653443551669,0.011993653632155675,1.0,2.52477,2.421498
2.5047812217171717,0.07838018015290282,0.10183657227230301,0.41712094227444907,0.0977239880586951,0.07796714180390855,0.00839865023426691,0.0047178964148661285,0.00042644662368461435,0.0,0.0007926011682178217,0.247653443551669,0.011993653632155675,1.0,2.52477,2.421498
2.5548768461515152,0.0653382125624372,0.08637168112392216,0.4507217145668051,0.11155759022313705,0.11976126929454062,0.011813098908589318,0.007334562458193615,0.0007730711695708057,0.0,0.0008174957196370598,0.247653443551669,0.011993653632155675,1.0,2.52477,2.421498
2.604972470585859,0.059564253720281825,0.0761829100603757,0.45312936247275065,0.12132091419710188,0.16875806574770824,0.015554133130800975,0.01219620508321332,0.0012016991454870446,0.0,0.0008174957196370598,0.247653443551669,0.011993653632155675,0.3990997772433046,2.52477,2.421498
2.655068095020202,0.054994305003446334,0.06616206883981256,0.44488211879339107,0.12907041128869132,0.22761790834391002,0.019679849199693133,0.018509257376295836,0.0016985954625759862,0.0013077269379562187,0.0010284066621646388,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
2.7051637194545455,0.0504243562866108,0.05580533452955682,0.4251067473754088,0.1353153309078541,0.30156981723795534,0.023868739031117723,0.02665345632883782,0.0022846675481495255,0.0017228979491980638,0.0014002890212179008,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
2.755259343888889,0.04803772327519318,0.04771817541287908,0.3964857667123163,0.137285516974361,0.3801816028413868,0.027952392745042978,0.03619012913128924,0.0029332932212751375,0.0025549982186503168,0.002006799698248239,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
2.805354968323232,0.04784344314924137,0.042822699584237206,0.3609560379503338,0.1392557030408679,0.4584471373782477,0.03221556439602096,0.047044910842192096,0.0036485776826502866,0.003612539547284355,0.003697338069675368,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
2.8554505927575757,0.046757841473913105,0.03824701954268345,0.32488908014090034,0.1412258891073748,0.5342689784753466,0.03604052425500178,0.05968236473834763,0.004441865404149834,0.004913408694090618,0.005944544958219944,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
2.9055462171919193,0.045672239798584834,0.03382155101132267,0.2956042099405598,0.13931571366833048,0.5989773507097402,0.03975680687252874,0.07346686143702784,0.005260043782470356,0.006564832722368652,0.008808623194537433,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
2.9556418416262624,0.04458663812325656,0.030082693273139855,0.26582018237672383,0.13677272373328822,0.6597292586672477,0.04270784930949841,0.08820476341631472,0.006178939190819019,0.008484602519538049,0.013192520713258708,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.005737466060606,0.04523474769218853,0.027510927189586837,0.23808053225665438,0.13406210304769106,0.6994670680155693,0.0432933913754478,0.1010899092671991,0.007354918096630539,0.01078109127057086,0.01813613169391685,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.0558330904949496,0.04860998195374771,0.026003244286275772,0.21589337661032657,0.13174439070118807,0.7223832837721558,0.04384133172626199,0.11548722205899281,0.008335060118071176,0.013152255870702166,0.023594727831323395,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.105928714929293,0.05198521621530689,0.024495561382964704,0.19474004127518882,0.129670229721433,0.7331107753148451,0.044377193817283694,0.12710266755424401,0.008811856705102542,0.015536484372274654,0.031015500483608825,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.1560243393636362,0.055360450476866045,0.023236962013201478,0.1752870415496227,0.12808646373401922,0.7285755671148113,0.04498077260054414,0.13576368938986924,0.009070345953867716,0.01789985109792237,0.03899694489322118,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.20611996379798,0.05873568473842522,0.02224652847800486,0.15896483025422198,0.12625715805309906,0.7240403589147772,0.043445889379778245,0.14261852569734773,0.009341889533044089,0.020177202446522314,0.04746767944912627,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
