r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
7.977215944343435,0.046283339960823115,0.11542833076718115,0.0008040638350798704,0.015846469902009067,0.08117628247149024,0.14132364316028054,1.0013409512774661e-08,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
8.127729452727273,0.04601313824189126,0.11583686081097792,0.0008830424816175201,0.015606603430601619,0.08345363548912377,0.13780916747348354,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
8.278242961111111,0.045657039015314566,0.11857844335153127,0.0009021902983663937,0.01563572165727274,0.0829234906233618,0.14358150079038945,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
8.42875646949495,0.04474740114398572,0.12326324632675573,0.0008937941452227483,0.015665396058614025,0.08037730818742218,0.14433894861875265,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
8.579269977878788,0.04394488303168641,0.1289272099117191,0.000927219892465186,0.016206837990803878,0.07580523089605713,0.15661302215591716,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
8.729783486262628,0.041764372099162755,0.1345406648743131,0.0008773359256132803,0.016645767539182583,0.07162143673564603,0.1585575559293004,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
8.880296994646466,0.03923372024435757,0.14038482546113104,0.0008683965140921599,0.017606424981501122,0.06709374992120413,0.17176722922663218,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
9.030810503030304,0.03827084597285618,0.14484053498557986,0.0008681505602538502,0.018403637116350964,0.06315036273449644,0.18456517128880637,6.080894439604999e-10,1.9920724444273043e-58,2.162802901990749e-06,2.84775,0
9.181324011414143,0.03592514443423582,0.14944090882525654,0.0008239356045537012,0.01920068246200946,0.05862393209564318,0.18445404535887233,6.080894439604999e-10,3.736605972624792e-59,2.162802901990749e-06,2.84775,0
9.33183751979798,0.035181246950294426,0.15259027240058456,0.000776615348896626,0.019783139088986487,0.056249717120317295,0.1956280198068475,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
9.482351028181819,0.03460092740248012,0.15443860116531935,0.0007152177118555738,0.02062450524556389,0.053970975049678134,0.19951481446550678,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
9.632864536565657,0.03366899759440403,0.15475691122238505,0.0006891494606174018,0.0212818803945611,0.05172857668895352,0.19974112661089513,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
9.783378044949496,0.03217211787584937,0.15345126448752094,0.000674285613109648,0.021539216705422647,0.0511333486578648,0.19939786200536166,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
9.933891553333334,0.031881001750809795,0.15132971361175393,0.0006534342100811948,0.021294736305009773,0.04871354965032906,0.19600411848211108,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
10.084405061717172,0.03208271470638195,0.14886827820116752,0.0006204472546712694,0.02134673920249994,0.04826629343125492,0.18380519810922633,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
10.23491857010101,0.0324950389729854,0.14529205151537658,0.0006054956539455767,0.021147210063101735,0.048406647018664095,0.18492906900401687,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
10.385432078484849,0.03360585544829451,0.14213612352104688,0.0005847769194840764,0.02094629683456861,0.04857930651077178,0.17995241262295258,6.080894439604999e-10,3.2721711695325237e-61,2.162802901990749e-06,2.84775,0
10.535945586868687,0.03465310941724434,0.13926206566378257,0.0005815181816835255,0.02047564447068371,0.05068799383433741,0.1704962076117929,6.080894439604999e-10,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
10.686459095252527,0.035799727352743616,0.13635515153897484,0.0005687476887034083,0.019778411480951916,0.05144024424764971,0.16911782890291366,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
10.836972603636365,0.036728315825912884,0.13403211262912176,0.0005599338522199983,0.01981395513196609,0.05385099885967098,0.16895858071713954,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
10.987486112020203,0.03776266011464959,0.13134460140370394,0.0006045053803173838,0.01900836489539427,0.056800143368572115,0.16310639975539762,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
11.137999620404042,0.03932111198461295,0.12992799024482402,0.0006149967981795677,0.018886096408882672,0.0601292770207179,0.1560841390202881,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
11.28851312878788,0.04016092237765124,0.12875587901279048,0.0006321427657571224,0.018162232051499652,0.06301551902160123,0.154661132579102,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
11.439026637171718,0.04034560563300059,0.12828232510417392,0.0006693243788947863,0.018055546123469296,0.0653856882197634,0.15531653856382446,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
11.589540145555556,0.04057933005329892,0.1279480909779189,0.0006917082544901844,0.01820713916763626,0.06732227793642971,0.15710420452827925,1.249935154354809e-15,3.2721711695325237e-61,3.431440277179992e-11,2.84775,0
