r (A),g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,S_i_Na-Cl,Average_SCL,lambda_BC
4.30630302972973,0.1630929686802766,0.4892789060408298,0.505829107776049,1.517487323328147,0.6728143973124809,4.53717,4.352426
4.32225230021021,0.16367899757479482,0.4910369927243845,0.5004126665121144,1.5012379995363432,0.6728143973124809,4.53717,4.352426
4.338201570690691,0.16436201908155074,0.4930860572446522,0.4949962252481797,1.4849886757445392,0.6728143973124809,4.53717,4.352426
4.354150841171171,0.16557434923360437,0.4967230477008131,0.48957978398424534,1.468739351952736,0.6728143973124809,4.53717,4.352426
4.370100111651651,0.16678667938565805,0.5003600381569742,0.4841633427203107,1.452490028160932,0.6728143973124809,4.53717,4.352426
4.386049382132132,0.16799900953771177,0.5039970286131353,0.48117462696198854,1.4435238808859656,0.6728143973124809,4.53717,4.352426
4.401998652612613,0.16921133968976546,0.5076340190692964,0.4783690743794971,1.4351072231384914,0.6728143973124809,4.53717,4.352426
4.4179479230930925,0.17042366984181906,0.5112710095254572,0.47556352179700584,1.4266905653910176,0.6728143973124809,4.53717,4.352426
4.433897193573573,0.17163599999387275,0.5149079999816183,0.4727579692145145,1.4182739076435436,0.6728143973124809,4.53717,4.352426
4.449846464054054,0.1728483301459265,0.5185449904377795,0.4699524166320231,1.4098572498960693,0.6728143973124809,4.53717,4.352426
4.4657957345345345,0.17406066029798017,0.5221819808939405,0.46714686404953165,1.401440592148595,0.6728143973124809,4.53717,4.352426
4.481745005015015,0.1753273636415243,0.5259820909245729,0.4643413114670403,1.3930239344011208,0.6728143973124809,4.53717,4.352426
4.497694275495495,0.17697019880125456,0.5309105964037637,0.46153575888454906,1.3846072766536472,0.6728143973124809,4.53717,4.352426
4.513643545975976,0.17861303396098488,0.5358391018829547,0.45785385870243883,1.3735615761073166,0.6728143973124809,4.53717,4.352426
4.529592816456456,0.18025586912071523,0.5407676073621457,0.45395642745611564,1.361869282368347,0.6728143973124809,4.53717,4.352426
4.545542086936937,0.18189870428044558,0.5456961128413368,0.4500589962097925,1.3501769886293775,0.6728143973124809,4.53717,4.352426
4.561491357417418,0.18354153944017593,0.5506246183205278,0.44616156496346926,1.3384846948904079,0.6728143973124809,4.53717,4.352426
4.577440627897897,0.18518437459990617,0.5555531237997186,0.4422641337171463,1.326792401151439,0.6728143973124809,4.53717,4.352426
4.593389898378378,0.18682720975963651,0.5604816292789095,0.4383667024708231,1.3151001074124693,0.6728143973124809,4.53717,4.352426
4.609339168858859,0.18847004491936684,0.5654101347581005,0.4350422329490875,1.3051266988472625,0.6728143973124809,4.53717,4.352426
4.625288439339339,0.1901584649078792,0.5704753947236376,0.43264831714173796,1.297944951425214,0.6728143973124809,4.53717,4.352426
4.641237709819819,0.19227087035945947,0.5768126110783784,0.4302544013343885,1.2907632040031656,0.6728143973124809,4.53717,4.352426
4.6571869803003,0.1943832758110398,0.5831498274331195,0.427860485527039,1.283581456581117,0.6728143973124809,4.53717,4.352426
4.6731362507807805,0.1964956812626202,0.5894870437878607,0.42546656971968944,1.2763997091590684,0.6728143973124809,4.53717,4.352426
4.689085521261261,0.1986080867142006,0.5958242601426018,0.42307265391233984,1.2692179617370196,0.6728143973124809,4.53717,4.352426
4.705034791741742,0.20072049216578094,0.6021614764973429,0.42067873810499035,1.262036214314971,0.6728143973124809,4.53717,4.352426
4.720984062222222,0.20283289761736123,0.6084986928520837,0.41828482229764097,1.254854466892923,0.6728143973124809,4.53717,4.352426
4.736933332702702,0.2049453030689416,0.6148359092068248,0.41589090649029137,1.247672719470874,0.6728143973124809,4.53717,4.352426
4.752882603183183,0.20705770852052197,0.6211731255615659,0.4129973597802466,1.2389920793407398,0.6728143973124809,4.53717,4.352426
4.768831873663664,0.20920557389192146,0.6276167216757644,0.409179236806919,1.227537710420757,0.6728143973124809,4.53717,4.352426
4.784781144144144,0.21184615657373423,0.6355384697212028,0.40536111383359136,1.2160833415007741,0.6728143973124809,4.53717,4.352426
4.800730414624624,0.21448673925554687,0.6434602177666406,0.40154299086026396,1.204628972580792,0.6728143973124809,4.53717,4.352426
4.816679685105105,0.21712732193735965,0.651381965812079,0.39772486788693634,1.193174603660809,0.6728143973124809,4.53717,4.352426
4.8326289555855855,0.21976790461917245,0.6593037138575174,0.39461344052192243,1.1838403215657674,0.6728143973124809,4.53717,4.352426
4.848578226066066,0.22240848730098522,0.6672254619029557,0.39291118646770384,1.1787335594031116,0.6728143973124809,4.53717,4.352426
4.864527496546546,0.22504906998279786,0.6751472099483936,0.39120893241348537,1.1736267972404562,0.6728143973124809,4.53717,4.352426
4.880476767027027,0.22768965266461064,0.6830689579938319,0.3895066783592669,1.1685200350778007,0.6728143973124809,4.53717,4.352426
4.896426037507507,0.2303302353464234,0.6909907060392703,0.3878044243050483,1.163413272915145,0.6728143973124809,4.53717,4.352426
4.912375307987988,0.23299577851171022,0.6989873355351307,0.3861021702508297,1.1583065107524892,0.6728143973124809,4.53717,4.352426
4.928324578468469,0.23632233270796327,0.7089669981238899,0.3843999161966112,1.1531997485898335,0.6728143973124809,4.53717,4.352426
4.944273848948948,0.23964888690421615,0.7189466607126485,0.38269766214239265,1.148092986427178,0.6728143973124809,4.53717,4.352426
4.960223119429429,0.24297544110046915,0.7289263233014075,0.3801477957092925,1.1404433871278776,0.6728143973124809,4.53717,4.352426
4.97617238990991,0.2463019952967222,0.7389059858901666,0.3775491633909125,1.1326474901727375,0.6728143973124809,4.53717,4.352426
4.99212166039039,0.24962854949297522,0.7488856484789257,0.3749505310725324,1.1248515932175973,0.6728143973124809,4.53717,4.352426
5.008070930870871,0.25295510368922824,0.7588653110676848,0.37235189875415237,1.1170556962624572,0.6728143973124809,4.53717,4.352426
5.024020201351351,0.25628165788548113,0.7688449736564434,0.36975326643577255,1.1092597993073177,0.6728143973124809,4.53717,4.352426
5.0399694718318315,0.2596082120817341,0.7788246362452025,0.3672810487240681,1.1018431461722042,0.6728143973124809,4.53717,4.352426
5.055918742312312,0.26299267656488234,0.7889780296946471,0.3654492298323926,1.0963476894971778,0.6728143973124809,4.53717,4.352426
5.071868012792793,0.2664335977808992,0.7993007933426977,0.36361741094071715,1.0908522328221515,0.6728143973124809,4.53717,4.352426
5.087817283273273,0.26987451899691584,0.8096235569907476,0.36178559204904187,1.0853567761471257,0.6728143973124809,4.53717,4.352426
5.103766553753753,0.2733154402129327,0.8199463206387981,0.3599537731573664,1.0798613194720992,0.6728143973124809,4.53717,4.352426
5.119715824234234,0.2767563614289495,0.8302690842868485,0.35812195426569093,1.074365862797073,0.6728143973124809,4.53717,4.352426
5.135665094714715,0.28019728264496635,0.840591847934899,0.35629013537401555,1.0688704061220466,0.6728143973124809,4.53717,4.352426
5.151614365195195,0.28363820386098315,0.8509146115829496,0.3544583164823401,1.0633749494470204,0.6728143973124809,4.53717,4.352426
5.167563635675675,0.28707912507699984,0.8612373752309995,0.3526264975906648,1.0578794927719943,0.6728143973124809,4.53717,4.352426
5.183512906156156,0.2907920769199413,0.872376230759824,0.3506005363518919,1.0518016090556759,0.6728143973124809,4.53717,4.352426
5.1994621766366365,0.29480217901432704,0.8844065370429811,0.34830019672122275,1.0449005901636683,0.6728143973124809,4.53717,4.352426
5.215411447117117,0.2988122811087128,0.8964368433261384,0.34599985709055364,1.037999571271661,0.6728143973124809,4.53717,4.352426
5.231360717597598,0.3028223832030985,0.9084671496092956,0.34369951745988453,1.0310985523796536,0.6728143973124809,4.53717,4.352426
5.247309988078078,0.3068324852974841,0.9204974558924522,0.3413991778292156,1.0241975334876467,0.6728143973124809,4.53717,4.352426
5.263259258558558,0.3108425873918698,0.9325277621756095,0.33909883819854647,1.0172965145956394,0.6728143973124809,4.53717,4.352426
5.279208529039039,0.31485268948625555,0.9445580684587668,0.33679849856787736,1.010395495703632,0.6728143973124809,4.53717,4.352426
5.29515779951952,0.3188627915806413,0.9565883747419239,0.33449815893720825,1.0034944768116247,0.6728143973124809,4.53717,4.352426
5.311107069999999,0.3228506857971195,0.9685520573913586,0.3323033454900568,0.9969100364701704,0.6728143973124809,4.53717,4.352426
5.32705634048048,0.32681129825569605,0.9804338947670882,0.3301466206838951,0.9904398620516854,0.03303416430967146,4.53717,4.352426
5.343005610960961,0.3307719107142726,0.9923157321428178,0.3279898958777335,0.9839696876332005,0.03303416430967146,4.53717,4.352426
5.358954881441441,0.33473252317284913,1.0041975695185474,0.32583317107157184,0.9774995132147155,0.03303416430967146,4.53717,4.352426
5.374904151921922,0.3386931356314256,1.016079406894277,0.32367644626541014,0.9710293387962304,0.03303416430967146,4.53717,4.352426
5.390853422402402,0.34265374809000193,1.027961244270006,0.32151972145924856,0.9645591643777458,0.03303416430967146,4.53717,4.352426
5.4068026928828825,0.3466143605485784,1.0398430816457354,0.31936299665308693,0.9580889899592608,0.03303416430967146,4.53717,4.352426
5.422751963363363,0.3505749730071549,1.0517249190214648,0.3172062718469253,0.9516188155407759,0.03303416430967146,4.53717,4.352426
5.438701233843844,0.3543006289740561,1.0629018869221685,0.3150495470407636,0.9451486411222909,0.03303416430967146,4.53717,4.352426
5.4546505043243245,0.3577013008898655,1.0731039026695965,0.31292853292084627,0.9387855987625389,0.03303416430967146,4.53717,4.352426
5.470599774804804,0.3611019728056747,1.0833059184170242,0.3108260046622038,0.9324780139866113,0.03303416430967146,4.53717,4.352426
5.486549045285285,0.3645026447214841,1.0935079341644522,0.3087234764035612,0.9261704292106836,0.03303416430967146,4.53717,4.352426
5.502498315765766,0.3679033166372934,1.1037099499118803,0.3066209481449186,0.9198628444347557,0.03303416430967146,4.53717,4.352426
5.518447586246246,0.37130398855310276,1.1139119656593084,0.3045184198862759,0.9135552596588279,0.03303416430967146,4.53717,4.352426
5.534396856726726,0.37470466046891193,1.1241139814067358,0.30241589162763344,0.9072476748829004,0.03303416430967146,4.53717,4.352426
5.550346127207207,0.3782785995287671,1.1348357985863013,0.30031336336899084,0.9009400901069726,0.03303416430967146,4.53717,4.352426
5.566295397687687,0.3822155243506433,1.14664657305193,0.29821083511034824,0.8946325053310448,0.03303416430967146,4.53717,4.352426
5.582244668168168,0.38615244917251956,1.1584573475175588,0.29610830685170564,0.8883249205551169,0.03303416430967146,4.53717,4.352426
