r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Ce-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Ce-Cl,Average_SCL,lambda_BC
4.006585872666667,0.10307095875182834,0.11625263691619257,0.0007697684295366056,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.07687685288889,0.10874144640420617,0.10494461372357353,0.0007003684654606582,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.147167833111111,0.1147481275328618,0.09539602596454266,0.0010425355083196483,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.217458813333334,0.12355333495091005,0.09015240909186731,0.0011038683858216479,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.287749793555556,0.1289161154172002,0.08675352312064029,0.0016429729206687942,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.358040773777779,0.13696409945135685,0.08396555464194026,0.002140272606896633,0.1514064985034587,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.428331754,0.14492252781774892,0.08189930038408118,0.0020040331473988693,0.1501546424371188,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.498622734222223,0.15517269654154953,0.08177625661491301,0.002430386742306045,0.07627271355473518,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.568913714444445,0.16534516249716402,0.08044023563446291,0.0029565570622189256,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.639204694666667,0.17388614818361497,0.07910421465401284,0.0030619939143952876,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.709495674888889,0.1828720831558551,0.07776819367356272,0.003690427636325758,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.779786655111112,0.19231891425157494,0.07960496485319758,0.005249466467048822,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.850077635333334,0.20338310500021306,0.08181433760071956,0.006076716405254124,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.920368615555556,0.2121207512458541,0.08356746995948003,0.007258688112657416,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
4.990659595777778,0.21962849175645927,0.0857215993464427,0.008323638455292477,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.060950576000001,0.2267402885333497,0.08983712961654342,0.008883200460104589,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.131241556222223,0.2338565759817307,0.09320849108157356,0.009893318901218993,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.201532536444445,0.23960190158590153,0.09561110494017101,0.011822678708391295,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.271823516666667,0.24752452717357387,0.10015958584484067,0.012371209869326763,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.34211449688889,0.2569070043168467,0.10498431496134233,0.015485177296253788,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.412405477111112,0.2637253749698682,0.11115548579546525,0.015951709580363158,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.482696457333334,0.26756937574109496,0.12154019080832065,0.0168847424890952,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.552987437555556,0.2691490395588412,0.1274054519944732,0.017241856019598028,0.008670797109322335,0.0044154143119872515,9.761690766886357e-42,2.79577,0
5.623278417777779,0.2767917446710017,0.13139623665756434,0.017217320695448096,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
5.693569398,0.2768930320089628,0.1382368751196562,0.01826313371740092,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
5.763860378222223,0.2706474838575903,0.14811056525873356,0.01832087575518181,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
5.834151358444445,0.2644019357062178,0.15612508886594129,0.01758762347896972,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
5.904442338666668,0.25815638755484527,0.15991768028426812,0.01889633467783702,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
5.974733318888889,0.25856441690471527,0.16350817956013308,0.020282762820253226,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
6.045024299111112,0.25325814003011604,0.16934328535459045,0.01862736010992476,0.008670797109322335,0.0044154143119872515,8.529240152503623e-89,2.79577,0
6.115315279333334,0.24573548608839835,0.17283251932389201,0.017333226259962715,0.008670797109322335,0.001713217689008013,8.529240152503623e-89,2.79577,0
6.1856062595555565,0.23919597805302992,0.1751561680675911,0.01846989184177736,0.008670797109322335,0.0001937890486783769,8.529240152503623e-89,2.79577,0
6.255897239777778,0.2324077865916156,0.17432095845129142,0.016832787652673785,0.008670797109322335,0.0001937890486783769,8.529240152503623e-89,2.79577,0
6.326188220000001,0.2253344106347468,0.1779193152994207,0.015574873613921911,0.008670797109322335,0.0001937890486783769,8.529240152503623e-89,2.79577,0
6.396479200222223,0.21648241149335506,0.18151767214755002,0.014298786876469545,0.008670797109322335,0.0001937890486783769,8.529240152503623e-89,2.79577,0
6.4667701804444455,0.20907027587593613,0.1847318371855215,0.012487122239274201,0.008670797109322335,0.0001937890486783769,8.529240152503623e-89,2.79577,0
