r (A),g(r)_weighted_Na-Cl,g(r)_weighted_K-Na,g(r)_weighted_Na-Na,g(r)_weighted_K-K,g(r)_weighted_K-Cl,S_i_Na-Cl,S_i_K-Cl,Average_SCL,lambda_BC
4.008278255353535,0.08113945326778008,0.13502853613695903,0.15818931701466812,0.09530229042659445,0.13370815811672143,0.0002727084390898547,0.0658067721301382,2.85049,0
4.108485211737374,0.07625153584304714,0.14349554090078614,0.15608107879520172,0.11398410703350954,0.11766940947973659,0.0002727084390898547,0.0658067721301382,2.85049,0
4.208692168121212,0.07585769040671737,0.15098331961155811,0.1540368537209336,0.12805660082870826,0.10581806527306727,0.0002727084390898547,0.0658067721301382,2.85049,0
4.308899124505051,0.08051106706372621,0.15624072592892593,0.1565318544107122,0.1341152054288745,0.10063347406012708,0.0002727084390898547,0.0658067721301382,2.85049,0
4.409106080888889,0.08515365431525486,0.15354678150405052,0.15591064150234782,0.13802754124243657,0.09974706822340405,0.0002727084390898547,0.0658067721301382,2.85049,0
4.509313037272728,0.0856095511221583,0.15358358503403013,0.1503977523816536,0.14319495479081448,0.09868836142185007,0.0002727084390898547,0.0658067721301382,2.85049,0
4.609519993656566,0.08964569075705325,0.14837080878238806,0.14176499857640962,0.1454895717987493,0.09866298243154939,0.0002727084390898547,0.0658067721301382,2.85049,0
4.709726950040404,0.09525553833519665,0.14605622570753862,0.13302677759978623,0.1425589606688203,0.10073122805300189,0.0002727084390898547,0.0658067721301382,2.85049,0
4.809933906424243,0.10356583995177644,0.1437671689161319,0.12677862917918736,0.1445603088410623,0.10015970488167145,0.0002727084390898547,0.0658067721301382,2.85049,0
4.910140862808081,0.11264563937813828,0.13564508161170566,0.12353284622895919,0.14398711657551902,0.10071228878727022,0.0002727084390898547,0.0658067721301382,2.85049,0
5.01034781919192,0.12071680416138428,0.12815620149394602,0.11758293668238676,0.13593936422151232,0.11061077219986899,0.0002727084390898547,0.0658067721301382,2.85049,0
5.110554775575758,0.12974055305788698,0.1204152712377406,0.10870984190370726,0.13359170997493505,0.11720271708476393,0.00019619136622214193,0.0658067721301382,2.85049,0
5.210761731959597,0.14061560690411465,0.11561332141990151,0.10287549843403616,0.12493500073773744,0.12002941665667723,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.310968688343435,0.150854405238546,0.10917227039932698,0.09467701368469993,0.1201037356012205,0.12540186982968377,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.411175644727273,0.16347953436338783,0.10331336422853939,0.08554322885745787,0.11792382486916203,0.13353729283262172,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.511382601111111,0.17891302707891252,0.0989899544336071,0.08054561644208262,0.11243990393526877,0.1436401957620774,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.61158955749495,0.19352132942171987,0.09412531194550092,0.07620805777087997,0.10738683814991844,0.15234203810808208,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.711796513878788,0.20374355351325227,0.08879418545615088,0.07071665479795855,0.10122345784834472,0.16299815729827613,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.812003470262627,0.21357629698676844,0.08309520217829976,0.06766443992012663,0.0941371243485297,0.17221253210197723,1.3435549767283788e-10,0.0658067721301382,2.85049,0
5.912210426646465,0.22275547753873273,0.07983819368816895,0.06498279623562274,0.0905705899648389,0.18156736052371805,1.3435549767283788e-10,0.005424879139314651,2.85049,0
6.012417383030304,0.23215334008680094,0.07623044632569265,0.0634177469180487,0.08816203641191311,0.19888745742348238,1.3435549767283788e-10,7.49790947514316e-07,2.85049,0
6.1126243394141415,0.23837759660413693,0.07206628063926811,0.06341344170390256,0.08152951215075796,0.21114024812135163,1.3435549767283788e-10,7.49790947514316e-07,2.85049,0
6.21283129579798,0.2414318989941943,0.0679641546586767,0.06400585663798788,0.07691863872005915,0.21488161252798602,1.3435549767283788e-10,7.49790947514316e-07,2.85049,0
6.313038252181818,0.2462411882291279,0.06630905689966793,0.06386153157953359,0.07841387032685161,0.22263973602478104,1.3435549767283788e-10,7.49790947514316e-07,2.85049,0
6.413245208565657,0.2456475669585199,0.06559618673920714,0.06255292224713,0.07629101425676589,0.22655457720771144,1.3435549767283788e-10,7.49790947514316e-07,2.85049,0
